LeakagePort 1	Current turn 0.5	Pressure storage 41.496	Pressure reaction 0.0441185
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
1.21	37.1855	9.25675	0.0136164	0.00962771
1.22	37.1551	9.32169	0.0135815	0.00969525
1.23	37.1248	9.38647	0.0135468	0.00976262
1.24	37.0945	9.45107	0.0135121	0.00982982
1.25	37.0644	9.51551	0.0134776	0.00989684
1.26	37.0343	9.57979	0.0134433	0.0099637
1.27	37.0043	9.64391	0.013409	0.0100304
1.28	36.9744	9.70786	0.0133749	0.0100969
1.29	36.9446	9.77164	0.0133409	0.0101632
1.3	36.9148	9.83527	0.013307	0.0102294
1.31	36.8851	9.89873	0.0132733	0.0102954
1.32	36.8555	9.96203	0.0132396	0.0103613
1.33	36.8259	10.0252	0.0132061	0.0104269
1.34	36.7965	10.0882	0.0131728	0.0104924
1.35	36.7671	10.151	0.0131395	0.0105578
1.36	36.7377	10.2136	0.0131064	0.010623
1.37	36.7085	10.2762	0.0130733	0.010688
1.38	36.6793	10.3385	0.0130404	0.0107528
1.39	36.6502	10.4007	0.0130076	0.0108175
1.4	36.6212	10.4627	0.012975	0.010882
1.41	36.5922	10.5246	0.0129424	0.0109464
1.42	36.5634	10.5863	0.01291	0.0110106
1.43	36.5346	10.6479	0.0128777	0.0110746
1.44	36.5058	10.7093	0.0128455	0.0111385
1.45	36.4772	10.7706	0.0128134	0.0112022
1.46	36.4486	10.8317	0.0127814	0.0112658
1.47	36.42	10.8927	0.0127495	0.0113292
1.48	36.3916	10.9535	0.0127178	0.0113924
1.49	36.3632	11.0141	0.0126862	0.0114555
1.5	36.3349	11.0746	0.0126546	0.0115184
1.51	36.3067	11.135	0.0126232	0.0115812
1.52	36.2785	11.1952	0.0125919	0.0116438
1.53	36.2504	11.2552	0.0125608	0.0117063
1.54	36.2224	11.3151	0.0125297	0.0117686
1.55	36.1944	11.3749	0.0124987	0.0118307
1.56	36.1665	11.4345	0.0124679	0.0118927
1.57	36.1387	11.494	0.0124371	0.0119546
1.58	36.111	11.5533	0.0124065	0.0120163
1.59	36.0833	11.6124	0.0123759	0.0120778
1.6	36.0556	11.6715	0.0123455	0.0121392
1.61	36.0281	11.7303	0.0123152	0.0122004
1.62	36.0006	11.7891	0.012285	0.0122615
1.63	35.9732	11.8477	0.0122549	0.0123225
1.64	35.9459	11.9061	0.0122249	0.0123832
1.65	35.9186	11.9644	0.012195	0.0124439
1.66	35.8914	12.0226	0.0121652	0.0125044
1.67	35.8642	12.0806	0.0121355	0.0125647
1.68	35.8371	12.1385	0.0121059	0.0126249
1.69	35.8101	12.1962	0.0120765	0.012685
1.7	35.7832	12.2538	0.0120471	0.0127449
1.71	35.7563	12.3113	0.0120178	0.0128046
1.72	35.7295	12.3686	0.0119886	0.0128642
1.73	35.7027	12.4257	0.0119595	0.0129237
1.74	35.676	12.4828	0.0119306	0.012983
1.75	35.6494	12.5397	0.0119017	0.0130422
1.76	35.6229	12.5964	0.0118729	0.0131012
1.77	35.5964	12.6531	0.0118443	0.0131601
1.78	35.5699	12.7096	0.0118157	0.0132189
1.79	35.5436	12.7659	0.0117872	0.0132775
1.8	35.5173	12.8221	0.0117588	0.013336
1.81	35.491	12.8782	0.0117305	0.0133943
1.82	35.4649	12.9341	0.0117024	0.0134525
1.83	35.4387	12.99	0.0116743	0.0135105
1.84	35.4127	13.0456	0.0116463	0.0135684
1.85	35.3867	13.1012	0.0116184	0.0136262
1.86	35.3608	13.1566	0.0115906	0.0136838
1.87	35.3349	13.2119	0.0115629	0.0137413
1.88	35.3091	13.267	0.0115352	0.0137987
1.89	35.2834	13.322	0.0115077	0.0138559
1.9	35.2577	13.3769	0.0114803	0.013913
1.91	35.2321	13.4317	0.011453	0.0139699
1.92	35.2065	13.4863	0.0114257	0.0140267
1.93	35.181	13.5408	0.0113986	0.0140834
1.94	35.1556	13.5951	0.0113715	0.01414
1.95	35.1302	13.6494	0.0113446	0.0141964
1.96	35.1049	13.7035	0.0113177	0.0142526
1.97	35.0796	13.7574	0.0112909	0.0143088
1.98	35.0544	13.8113	0.0112642	0.0143648
1.99	35.0293	13.865	0.0112376	0.0144207
2	35.0042	13.9186	0.0112111	0.0144764
2.01	34.9792	13.9721	0.0111847	0.014532
2.02	34.9543	14.0254	0.0111583	0.0145875
2.03	34.9294	14.0786	0.0111321	0.0146428
2.04	34.9045	14.1317	0.0111059	0.0146981
2.05	34.8797	14.1847	0.0110798	0.0147531
2.06	34.855	14.2375	0.0110539	0.0148081
2.07	34.8303	14.2903	0.011028	0.0148629
2.08	34.8057	14.3428	0.0110021	0.0149176
2.09	34.7812	14.3953	0.0109764	0.0149722
2.1	34.7567	14.4477	0.0109508	0.0150267
2.11	34.7323	14.4999	0.0109252	0.015081
2.12	34.7079	14.552	0.0108997	0.0151352
2.13	34.6836	14.604	0.0108743	0.0151892
2.14	34.6593	14.6558	0.010849	0.0152432
2.15	34.6351	14.7076	0.0108238	0.015297
2.16	34.6109	14.7592	0.0107987	0.0153507
2.17	34.5868	14.8107	0.0107736	0.0154042
2.18	34.5628	14.8621	0.0107487	0.0154577
2.19	34.5388	14.9134	0.0107238	0.015511
2.2	34.5149	14.9645	0.010699	0.0155642
2.21	34.491	15.0155	0.0106742	0.0156173
2.22	34.4672	15.0664	0.0106496	0.0156702
2.23	34.4434	15.1172	0.010625	0.015723
2.24	34.4197	15.1679	0.0106005	0.0157757
2.25	34.396	15.2184	0.0105761	0.0158283
2.26	34.3724	15.2689	0.0105518	0.0158808
2.27	34.3489	15.3192	0.0105276	0.0159331
2.28	34.3254	15.3694	0.0105034	0.0159853
2.29	34.302	15.4195	0.0104793	0.0160374
2.3	34.2786	15.4695	0.0104553	0.0160894
2.31	34.2553	15.5194	0.0104314	0.0161413
2.32	34.232	15.5691	0.0104075	0.016193
2.33	34.2088	15.6187	0.0103837	0.0162446
2.34	34.1856	15.6683	0.01036	0.0162962
2.35	34.1625	15.7177	0.0103364	0.0163475
2.36	34.1394	15.767	0.0103129	0.0163988
2.37	34.1164	15.8161	0.0102894	0.01645
2.38	34.0934	15.8652	0.010266	0.016501
2.39	34.0705	15.9142	0.0102427	0.0165519
2.4	34.0477	15.963	0.0102194	0.0166027
2.41	34.0249	16.0118	0.0101962	0.0166534
2.42	34.0021	16.0604	0.0101731	0.016704
2.43	33.9794	16.1089	0.0101501	0.0167545
2.44	33.9568	16.1573	0.0101272	0.0168048
2.45	33.9342	16.2056	0.0101043	0.0168551
2.46	33.9116	16.2538	0.0100815	0.0169052
2.47	33.8891	16.3019	0.0100588	0.0169552
2.48	33.8667	16.3499	0.0100361	0.0170051
2.49	33.8443	16.3977	0.0100135	0.0170549
2.5	33.8219	16.4455	0.00999101	0.0171045
2.51	33.7996	16.4931	0.00996857	0.0171541
2.52	33.7774	16.5407	0.0099462	0.0172035
2.53	33.7552	16.5881	0.0099239	0.0172529
2.54	33.7331	16.6354	0.00990167	0.0173021
2.55	33.711	16.6827	0.00987951	0.0173512
2.56	33.6889	16.7298	0.00985742	0.0174002
2.57	33.6669	16.7768	0.00983541	0.0174491
2.58	33.645	16.8237	0.00981346	0.0174979
2.59	33.6231	16.8705	0.00979158	0.0175466
2.6	33.6012	16.9172	0.00976976	0.0175951
2.61	33.5794	16.9638	0.00974802	0.0176436
2.62	33.5577	17.0103	0.00972635	0.017692
2.63	33.536	17.0567	0.00970474	0.0177402
2.64	33.5143	17.103	0.0096832	0.0177883
2.65	33.4927	17.1491	0.00966173	0.0178364
2.66	33.4711	17.1952	0.00964033	0.0178843
2.67	33.4496	17.2412	0.00961899	0.0179321
2.68	33.4282	17.2871	0.00959772	0.0179798
2.69	33.4067	17.3328	0.00957652	0.0180274
2.7	33.3854	17.3785	0.00955538	0.0180749
2.71	33.3641	17.4241	0.00953431	0.0181223
2.72	33.3428	17.4696	0.0095133	0.0181696
2.73	33.3215	17.5149	0.00949236	0.0182168
2.74	33.3004	17.5602	0.00438433	0.0182639
2.75	33.2906	17.5811	0.0043822	0.0182857
2.76	33.2808	17.602	0.00438005	0.0183074
2.77	33.271	17.6229	0.00437789	0.0183291
2.78	33.2613	17.6438	0.00437573	0.0183508
2.79	33.2515	17.6646	0.00437355	0.0183725
2.8	33.2417	17.6855	0.00437136	0.0183942
2.81	33.232	17.7063	0.00436916	0.0184159
2.82	33.2222	17.7272	0.00436696	0.0184376
2.83	33.2125	17.748	0.00436474	0.0184593
2.84	33.2028	17.7688	0.00436251	0.0184809
2.85	33.193	17.7896	0.00436027	0.0185025
2.86	33.1833	17.8104	0.00435803	0.0185242
2.87	33.1736	17.8312	0.00435577	0.0185458
2.88	33.1638	17.852	0.0043535	0.0185674
2.89	33.1541	17.8727	0.00435122	0.018589
2.9	33.1444	17.8935	0.00434893	0.0186106
2.91	33.1347	17.9142	0.00434664	0.0186321
2.92	33.125	17.935	0.00434433	0.0186537
2.93	33.1153	17.9557	0.00434201	0.0186753
2.94	33.1056	17.9764	0.00433968	0.0186968
2.95	33.0959	17.9971	0.00433735	0.0187183
2.96	33.0863	18.0178	0.004335	0.0187398
2.97	33.0766	18.0385	0.00433264	0.0187613
2.98	33.0669	18.0591	0.00433027	0.0187828
2.99	33.0573	18.0798	0.0043279	0.0188043
3	33.0476	18.1004	0.00432551	0.0188258
3.01	33.038	18.121	0.00432311	0.0188472
3.02	33.0283	18.1417	0.00432071	0.0188687
3.03	33.0187	18.1623	0.00431829	0.0188901
3.04	33.009	18.1829	0.00431586	0.0189115
3.05	32.9994	18.2034	0.00431343	0.0189329
3.06	32.9898	18.224	0.00431098	0.0189543
3.07	32.9802	18.2446	0.00430853	0.0189757
3.08	32.9705	18.2651	0.00430606	0.0189971
3.09	32.9609	18.2857	0.00430359	0.0190184
3.1	32.9513	18.3062	0.0043011	0.0190398
3.11	32.9417	18.3267	0.00429861	0.0190611
3.12	32.9321	18.3472	0.0042961	0.0190825
3.13	32.9226	18.3677	0.00429359	0.0191038
3.14	32.913	18.3882	0.00429107	0.0191251
3.15	32.9034	18.4086	0.00428853	0.0191463
3.16	32.8938	18.4291	0.00428599	0.0191676
3.17	32.8843	18.4495	0.00428344	0.0191889
3.18	32.8747	18.4699	0.00428088	0.0192101
3.19	32.8651	18.4904	0.00427831	0.0192314
3.2	32.8556	18.5108	0.00427573	0.0192526
3.21	32.8461	18.5312	0.00427314	0.0192738
3.22	32.8365	18.5515	0.00427054	0.019295
3.23	32.827	18.5719	0.00426793	0.0193162
3.24	32.8175	18.5923	0.00426531	0.0193373
3.25	32.808	18.6126	0.00426268	0.0193585
3.26	32.7984	18.6329	0.00426005	0.0193796
3.27	32.7889	18.6532	0.0042574	0.0194008
3.28	32.7794	18.6736	0.00425474	0.0194219
3.29	32.7699	18.6938	0.00425208	0.019443
3.3	32.7605	18.7141	0.0042494	0.0194641
3.31	32.751	18.7344	0.00424672	0.0194852
3.32	32.7415	18.7546	0.00424403	0.0195062
3.33	32.732	18.7749	0.00424132	0.0195273
3.34	32.7226	18.7951	0.00423861	0.0195483
3.35	32.7131	18.8153	0.00423589	0.0195693
3.36	32.7036	18.8355	0.00423316	0.0195904
3.37	32.6942	18.8557	0.00423042	0.0196114
3.38	32.6848	18.8759	0.00422767	0.0196323
3.39	32.6753	18.8961	0.00422491	0.0196533
3.4	32.6659	18.9162	0.00422214	0.0196743
3.41	32.6565	18.9363	0.00421937	0.0196952
3.42	32.6471	18.9565	0.00421658	0.0197161
3.43	32.6377	18.9766	0.00421379	0.0197371
3.44	32.6283	18.9967	0.00421098	0.019758
3.45	32.6189	19.0168	0.00420817	0.0197788
3.46	32.6095	19.0368	0.00420535	0.0197997
3.47	32.6001	19.0569	0.00420251	0.0198206
3.48	32.5907	19.0769	0.00419967	0.0198414
3.49	32.5813	19.097	0.00419682	0.0198623
3.5	32.572	19.117	0.00419397	0.0198831
3.51	32.5626	19.137	0.0041911	0.0199039
3.52	32.5533	19.157	0.00418822	0.0199247
3.53	32.5439	19.1769	0.00418534	0.0199454
3.54	32.5346	19.1969	0.00418244	0.0199662
3.55	32.5252	19.2168	0.00417954	0.0199869
3.56	32.5159	19.2368	0.00417662	0.0200077
3.57	32.5066	19.2567	0.0041737	0.0200284
3.58	32.4973	19.2766	0.00417077	0.0200491
3.59	32.488	19.2965	0.00416783	0.0200698
3.6	32.4787	19.3164	0.00416489	0.0200905
3.61	32.4694	19.3362	0.00416193	0.0201111
3.62	32.4601	19.3561	0.00415896	0.0201318
3.63	32.4508	19.3759	0.00415599	0.0201524
3.64	32.4415	19.3957	0.004153	0.020173
3.65	32.4323	19.4155	0.00415001	0.0201936
3.66	32.423	19.4353	0.00414701	0.0202142
3.67	32.4138	19.4551	0.004144	0.0202348
3.68	32.4045	19.4749	0.00414098	0.0202553
3.69	32.3953	19.4946	0.00413795	0.0202759
3.7	32.386	19.5144	0.00413492	0.0202964
3.71	32.3768	19.5341	0.00413187	0.0203169
3.72	32.3676	19.5538	0.00412882	0.0203374
3.73	32.3584	19.5735	0.00412576	0.0203579
3.74	32.3492	19.5931	0.00412269	0.0203783
3.75	32.34	19.6128	0.00411961	0.0203988
3.76	32.3308	19.6325	0.00411652	0.0204192
3.77	32.3216	19.6521	0.00411342	0.0204396
3.78	32.3124	19.6717	0.00411032	0.02046
3.79	32.3032	19.6913	0.0041072	0.0204804
3.8	32.2941	19.7109	0.00410408	0.0205008
3.81	32.2849	19.7305	0.00410095	0.0205212
3.82	32.2758	19.75	0.00409781	0.0205415
3.83	32.2666	19.7696	0.00409466	0.0205618
3.84	32.2575	19.7891	0.0040915	0.0205821
3.85	32.2484	19.8086	0.00408834	0.0206024
3.86	32.2392	19.8281	0.00408517	0.0206227
3.87	32.2301	19.8476	0.00408198	0.020643
3.88	32.221	19.8671	0.00407879	0.0206632
3.89	32.2119	19.8865	0.00407559	0.0206835
3.9	32.2028	19.906	0.00407239	0.0207037
3.91	32.1937	19.9254	0.00406917	0.0207239
3.92	32.1846	19.9448	0.00406595	0.0207441
3.93	32.1756	19.9642	0.00406271	0.0207642
3.94	32.1665	19.9836	0.00405947	0.0207844
3.95	32.1574	20.0029	0.00405622	0.0208045
3.96	32.1484	20.0223	0.00405297	0.0208246
3.97	32.1393	20.0416	0.0040497	0.0208447
3.98	32.1303	20.0609	0.00404643	0.0208648
3.99	32.1213	20.0802	0.00404315	0.0208849
4	32.1123	20.0995	0.00403985	0.020905
4.01	32.1032	20.1187	0.00403656	0.020925
4.02	32.0942	20.138	0.00403325	0.020945
4.03	32.0852	20.1572	0.00402993	0.020965
4.04	32.0762	20.1765	0.00402661	0.020985
4.05	32.0673	20.1957	0.00402328	0.021005
4.06	32.0583	20.2148	0.00401994	0.0210249
4.07	32.0493	20.234	0.00401659	0.0210449
4.08	32.0403	20.2532	0.00401324	0.0210648
4.09	32.0314	20.2723	0.00400987	0.0210847
4.1	32.0224	20.2914	0.0040065	0.0211046
4.11	32.0135	20.3105	0.00400312	0.0211245
4.12	32.0046	20.3296	0.00399973	0.0211443
4.13	31.9956	20.3487	0.00399634	0.0211642
4.14	31.9867	20.3678	0.00399293	0.021184
4.15	31.9778	20.3868	0.00398952	0.0212038
4.16	31.9689	20.4058	0.0039861	0.0212236
4.17	31.96	20.4249	0.00398267	0.0212434
4.18	31.9511	20.4438	0.00397924	0.0212631
4.19	31.9423	20.4628	0.00397579	0.0212829
4.2	31.9334	20.4818	0.00397234	0.0213026
4.21	31.9245	20.5007	0.00396888	0.0213223
4.22	31.9157	20.5197	0.00396541	0.021342
4.23	31.9068	20.5386	0.00396194	0.0213616
4.24	31.898	20.5575	0.00395845	0.0213813
4.25	31.8891	20.5763	0.00395496	0.0214009
4.26	31.8803	20.5952	0.00395146	0.0214205
4.27	31.8715	20.614	0.00394796	0.0214401
4.28	31.8627	20.6329	0.00394444	0.0214597
4.29	31.8539	20.6517	0.00394092	0.0214793
4.3	31.8451	20.6705	0.00393739	0.0214988
4.31	31.8363	20.6893	0.00393385	0.0215184
4.32	31.8275	20.708	0.0039303	0.0215379
4.33	31.8188	20.7268	0.00392675	0.0215574
4.34	31.81	20.7455	0.00392319	0.0215769
4.35	31.8012	20.7642	0.00391962	0.0215963
4.36	31.7925	20.7829	0.00391604	0.0216158
4.37	31.7838	20.8016	0.00391246	0.0216352
4.38	31.775	20.8202	0.00390887	0.0216546
4.39	31.7663	20.8389	0.00390527	0.021674
4.4	31.7576	20.8575	0.00390166	0.0216934
4.41	31.7489	20.8761	0.00389805	0.0217127
4.42	31.7402	20.8947	0.00389443	0.021732
4.43	31.7315	20.9133	0.0038908	0.0217514
4.44	31.7228	20.9318	0.00388716	0.0217707
4.45	31.7141	20.9504	0.00388351	0.0217899
4.46	31.7055	20.9689	0.00387986	0.0218092
4.47	31.6968	20.9874	0.0038762	0.0218285
4.48	31.6882	21.0059	0.00387253	0.0218477
4.49	31.6795	21.0243	0.00386886	0.0218669
4.5	31.6709	21.0428	0.00386518	0.0218861
4.51	31.6623	21.0612	0.00386149	0.0219053
4.52	31.6536	21.0797	0.00385779	0.0219244
4.53	31.645	21.098	0.00385409	0.0219435
4.54	31.6364	21.1164	0.00385037	0.0219627
4.55	31.6278	21.1348	0.00384665	0.0219818
4.56	31.6193	21.1531	0.00384293	0.0220008
4.57	31.6107	21.1715	0.00383919	0.0220199
4.58	31.6021	21.1898	0.00383545	0.0220389
