LeakagePort 0	Current turn 0.5	Pressure storage 5.23703	Pressure reaction 0.0254031
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	5.23703	0.0254031	52.9968	0.598446
0.1	4.75382	0.0232009	48.1069	0.598446
0.2	4.66722	0.209704	47.2306	5.40913
0.3	4.58221	0.39281	46.3702	10.1322
0.4	4.49874	0.572581	45.5256	14.7692
0.5	4.41679	0.749077	44.6963	19.3218
0.6	4.33634	0.922358	43.8821	23.7914
0.7	4.25735	1.09248	43.0828	28.1796
0.8	4.1798	1.25951	42.298	32.4879
0.9	4.10366	1.42349	41.5275	36.7177
1	4.02891	1.58449	40.771	40.8704
1.1	3.95552	1.74255	40.0284	44.9475
1.2	3.88346	1.89774	39.2992	48.9504
1.3	3.81272	2.05009	38.532	52.8803
1.4	3.74337	2.19948	37.4496	56.7335
1.5	3.67595	2.34466	36.0541	60.4785
1.6	3.61106	2.48444	34.3224	64.0839
1.7	3.54927	2.6175	32.234	67.5161
1.8	3.49125	2.74247	29.7716	70.7395
1.9	3.43766	2.85789	26.9218	73.7167
2	3.3892	2.96226	23.6745	76.4088
2.1	3.34659	3.05404	20.02	78.7763
2.2	3.31055	3.13166	15.9388	80.7783
2.3	3.28186	3.19345	11.3654	82.3722
2.4	3.2614	3.23751	5.96795	83.5087
2.5	3.25066	3.26065	0	84.1055
