LeakagePort 0	Current turn 0.5	Pressure storage 9.02416	Pressure reaction 0.376109
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	9.02416	0.376109	0.0117388	0.000390037
0.01	9.02416	0.376109	0.0117388	0.000390037
0.02	8.99793	0.432257	0.0116773	0.000448265
0.03	8.97183	0.488112	0.0116164	0.000506188
0.04	8.94586	0.543675	0.0115559	0.000563809
0.05	8.92003	0.598949	0.0114959	0.00062113
0.06	8.89434	0.653936	0.0114363	0.000678153
0.07	8.86878	0.708638	0.0113772	0.000734881
0.08	8.84335	0.763058	0.0113186	0.000791315
0.09	8.81805	0.817197	0.0112604	0.000847459
0.1	8.79288	0.871058	0.0112027	0.000903315
0.11	8.76784	0.924642	0.0111454	0.000958883
0.12	8.74293	0.977953	0.0110885	0.00101417
0.13	8.71814	1.03099	0.0110321	0.00106917
0.14	8.69349	1.08376	0.0109761	0.00112389
0.15	8.66895	1.13626	0.0109205	0.00117834
0.16	8.64454	1.1885	0.0108654	0.00123251
0.17	8.62026	1.24047	0.0108106	0.0012864
0.18	8.59609	1.29218	0.0107563	0.00134003
0.19	8.57205	1.34363	0.0107024	0.00139338
0.2	8.54813	1.39482	0.0106489	0.00144647
0.21	8.52433	1.44575	0.0105958	0.00149929
0.22	8.50065	1.49643	0.010543	0.00155185
0.23	8.47708	1.54686	0.0104907	0.00160415
0.24	8.45363	1.59704	0.0104388	0.00165618
0.25	8.4303	1.64697	0.0103872	0.00170796
0.26	8.40708	1.69666	0.010336	0.00175949
0.27	8.38398	1.7461	0.0102852	0.00181076
0.28	8.36099	1.79529	0.0102348	0.00186178
0.29	8.33812	1.84425	0.0101847	0.00191254
0.3	8.31535	1.89296	0.010135	0.00196306
0.31	8.2927	1.94144	0.0100857	0.00201334
0.32	8.27016	1.98968	0.0100367	0.00206336
0.33	8.24772	2.03769	0.00998808	0.00211315
0.34	8.2254	2.08546	0.0099398	0.00216269
0.35	8.20318	2.13301	0.00989188	0.002212
0.36	8.18107	2.18032	0.00984429	0.00226106
0.37	8.15907	2.22741	0.00979705	0.0023099
0.38	8.13717	2.27427	0.00975015	0.00235849
0.39	8.11538	2.32091	0.00970358	0.00240686
0.4	8.09369	2.36732	0.00965734	0.00245499
0.41	8.0721	2.41351	0.00961144	0.00250289
0.42	8.05062	2.45949	0.00956585	0.00255057
0.43	8.02924	2.50524	0.00952059	0.00259802
0.44	8.00796	2.55078	0.00947565	0.00264524
0.45	7.98678	2.59611	0.00943102	0.00269225
0.46	7.9657	2.64122	0.00938671	0.00273903
0.47	7.94472	2.68611	0.00934271	0.00278559
0.48	7.92384	2.7308	0.00929901	0.00283193
0.49	7.90305	2.77528	0.00925562	0.00287806
0.5	7.88237	2.81955	0.00921253	0.00292397
0.51	7.86177	2.86362	0.00916974	0.00296966
0.52	7.84128	2.90748	0.00912725	0.00301515
0.53	7.82088	2.95114	0.00908505	0.00306042
0.54	7.80057	2.99459	0.00904314	0.00310549
0.55	7.78036	3.03785	0.00900152	0.00315034
0.56	7.76024	3.0809	0.00896018	0.00319499
0.57	7.74021	3.12376	0.00891913	0.00323944
0.58	7.72028	3.16642	0.00887836	0.00328368
0.59	7.70043	3.20889	0.00883786	0.00332772
0.6	7.68068	3.25116	0.00879764	0.00337156
0.61	7.66101	3.29324	0.00875769	0.0034152
0.62	7.64144	3.33513	0.00871802	0.00345864
0.63	7.62195	3.37683	0.00867861	0.00350188
0.64	7.60256	3.41834	0.00863946	0.00354493
0.65	7.58325	3.45967	0.00860058	0.00358779
0.66	7.56402	3.50081	0.00856196	0.00363045
0.67	7.54489	3.54176	0.0085236	0.00367292
0.68	7.52583	3.58253	0.00848549	0.0037152
0.69	7.50687	3.62312	0.00844764	0.00375729
0.7	7.48799	3.66352	0.00841004	0.00379919
0.71	7.46919	3.70375	0.00837269	0.00384091
0.72	7.45047	3.7438	0.00833558	0.00388244
0.73	7.43184	3.78367	0.00829873	0.00392379
0.74	7.41329	3.82336	0.00826211	0.00396495
0.75	7.39483	3.86288	0.00822573	0.00400593
0.76	7.37644	3.90223	0.00492926	0.00404674
0.77	7.36542	3.92581	0.00492038	0.00407119
0.78	7.35443	3.94934	0.00491117	0.00409559
0.79	7.34345	3.97283	0.00490165	0.00411995
0.8	7.33249	3.99628	0.0048918	0.00414427
0.81	7.32156	4.01968	0.00488163	0.00416853
0.82	7.31065	4.04303	0.00487113	0.00419275
0.83	7.29976	4.06633	0.00486032	0.00421691
0.84	7.2889	4.08957	0.00484919	0.00424102
0.85	7.27806	4.11277	0.00483774	0.00426507
0.86	7.26725	4.13591	0.00482597	0.00428907
0.87	7.25646	4.15899	0.00481389	0.00431301
0.88	7.2457	4.18202	0.00480149	0.00433689
0.89	7.23497	4.20498	0.00478878	0.0043607
0.9	7.22426	4.22789	0.00477575	0.00438446
0.91	7.21359	4.25073	0.00476241	0.00440815
0.92	7.20294	4.27351	0.00474875	0.00443177
0.93	7.19233	4.29623	0.00473479	0.00445532
0.94	7.18175	4.31887	0.00472052	0.00447881
0.95	7.1712	4.34145	0.00470594	0.00450223
0.96	7.16068	4.36396	0.00469105	0.00452557
0.97	7.15019	4.3864	0.00467585	0.00454884
0.98	7.13974	4.40877	0.00466035	0.00457203
0.99	7.12933	4.43106	0.00464455	0.00459515
1	7.11894	4.45327	0.00462844	0.00461819
1.01	7.1086	4.47541	0.00461204	0.00464115
1.02	7.09829	4.49747	0.00459533	0.00466402
1.03	7.08802	4.51945	0.00457832	0.00468682
1.04	7.07779	4.54135	0.00456102	0.00470953
1.05	7.06759	4.56317	0.00454342	0.00473215
1.06	7.05744	4.5849	0.00452553	0.00475469
1.07	7.04732	4.60655	0.00450734	0.00477714
1.08	7.03725	4.62811	0.00448886	0.00479949
1.09	7.02721	4.64958	0.00447009	0.00482176
1.1	7.01722	4.67096	0.00445102	0.00484393
1.11	7.00727	4.69225	0.00443168	0.00486601
1.12	6.99737	4.71345	0.00441204	0.00488799
1.13	6.98751	4.73455	0.00439212	0.00490988
1.14	6.97769	4.75556	0.00437192	0.00493166
1.15	6.96792	4.77647	0.00435143	0.00495335
1.16	6.95819	4.79728	0.00433067	0.00497494
1.17	6.94851	4.818	0.00430962	0.00499642
1.18	6.93888	4.83861	0.0042883	0.00501779
1.19	6.92929	4.85912	0.0042667	0.00503907
1.2	6.91976	4.87953	0.00424483	0.00506023
1.21	6.91027	4.89983	0.00422268	0.00508129
1.22	6.90083	4.92003	0.00420026	0.00510223
1.23	6.89144	4.94012	0.00417758	0.00512307
1.24	6.88211	4.96011	0.00415462	0.00514379
1.25	6.87282	4.97998	0.0041314	0.0051644
1.26	6.86359	4.99974	0.00410792	0.00518489
1.27	6.8544	5.01939	0.00408417	0.00520527
1.28	6.84528	5.03892	0.00406017	0.00522552
1.29	6.8362	5.05834	0.0040359	0.00524566
1.3	6.82718	5.07765	0.00401137	0.00526568
1.31	6.81821	5.09684	0.00398659	0.00528558
1.32	6.8093	5.1159	0.00396156	0.00530536
1.33	6.80045	5.13485	0.00393627	0.00532501
1.34	6.79165	5.15368	0.00391073	0.00534453
1.35	6.78291	5.17239	0.00388494	0.00536393
1.36	6.77423	5.19097	0.00385891	0.0053832
1.37	6.7656	5.20943	0.00383263	0.00540234
1.38	6.75703	5.22776	0.00380611	0.00542135
1.39	6.74853	5.24596	0.00377934	0.00544023
1.4	6.74008	5.26404	0.00375234	0.00545898
1.41	6.73169	5.28199	0.0037251	0.00547759
1.42	6.72337	5.29981	0.00369762	0.00549607
1.43	6.7151	5.31749	0.00366991	0.00551441
1.44	6.7069	5.33505	0.00364197	0.00553262
1.45	6.69876	5.35247	0.00361379	0.00555068
1.46	6.69068	5.36975	0.00358539	0.00556861
1.47	6.68267	5.3869	0.00355676	0.00558639
1.48	6.67472	5.40392	0.00352791	0.00560403
1.49	6.66683	5.42079	0.00349883	0.00562153
1.5	6.65901	5.43753	0.00346954	0.00563889
1.51	6.65126	5.45412	0.00344002	0.0056561
1.52	6.64357	5.47058	0.00341029	0.00567316
1.53	6.63595	5.48689	0.00338034	0.00569008
1.54	6.62839	5.50306	0.00335019	0.00570685
1.55	6.6209	5.51908	0.00331982	0.00572346
1.56	6.61348	5.53496	0.00328924	0.00573993
1.57	6.60613	5.55069	0.00325845	0.00575625
1.58	6.59885	5.56628	0.00322746	0.00577241
1.59	6.59163	5.58172	0.00319627	0.00578842
1.6	6.58449	5.59701	0.00316488	0.00580427
1.61	6.57741	5.61214	0.00313329	0.00581997
1.62	6.57041	5.62713	0.0031015	0.00583551
1.63	6.56348	5.64197	0.00306951	0.0058509
1.64	6.55662	5.65665	0.00303734	0.00586612
1.65	6.54983	5.67118	0.00300497	0.00588119
1.66	6.54311	5.68555	0.00297242	0.0058961
1.67	6.53647	5.69977	0.00293968	0.00591084
1.68	6.5299	5.71383	0.00290675	0.00592542
1.69	6.5234	5.72773	0.00287364	0.00593984
1.7	6.51698	5.74148	0.00284036	0.00595409
1.71	6.51063	5.75506	0.00280689	0.00596818
1.72	6.50436	5.76849	0.00277325	0.00598211
1.73	6.49816	5.78175	0.00273943	0.00599586
1.74	6.49203	5.79486	0.00270544	0.00600945
1.75	6.48599	5.8078	0.00267128	0.00602287
1.76	6.48002	5.82057	0.00263696	0.00603612
1.77	6.47412	5.83319	0.00260247	0.0060492
1.78	6.46831	5.84564	0.00256781	0.00606211
1.79	6.46257	5.85792	0.002533	0.00607485
1.8	6.45691	5.87003	0.00249802	0.00608741
1.81	6.45132	5.88198	0.00246289	0.0060998
1.82	6.44582	5.89376	0.0024276	0.00611202
1.83	6.44039	5.90537	0.00239216	0.00612406
1.84	6.43504	5.91682	0.00235656	0.00613593
1.85	6.42978	5.92809	0.00232082	0.00614762
1.86	6.42459	5.93919	0.00228493	0.00615913
1.87	6.41948	5.95012	0.0022489	0.00617046
1.88	6.41446	5.96088	0.00221272	0.00618162
1.89	6.40951	5.97146	0.0021764	0.00619259
1.9	6.40465	5.98187	0.00213994	0.00620339
1.91	6.39986	5.9921	0.00210335	0.006214
1.92	6.39516	6.00217	0.00206662	0.00622444
1.93	6.39054	6.01205	0.00202976	0.00623469
1.94	6.38601	6.02176	0.00199277	0.00624476
1.95	6.38155	6.03129	0.00195565	0.00625464
1.96	6.37718	6.04065	0.0019184	0.00626434
1.97	6.37289	6.04982	0.00188102	0.00627386
1.98	6.36869	6.05882	0.00184353	0.00628319
1.99	6.36457	6.06764	0.00180591	0.00629233
2	6.36053	6.07627	0.00176818	0.00630129
2.01	6.35658	6.08473	0.00173032	0.00631006
2.02	6.35271	6.09301	0.00169235	0.00631864
2.03	6.34893	6.1011	0.00165427	0.00632704
2.04	6.34523	6.10902	0.00161608	0.00633525
2.05	6.34162	6.11675	0.00157777	0.00634326
2.06	6.33809	6.12429	0.00153936	0.00635109
2.07	6.33465	6.13166	0.00150084	0.00635872
2.08	6.3313	6.13883	0.00146221	0.00636617
2.09	6.32803	6.14583	0.00142348	0.00637342
2.1	6.32485	6.15264	0.00138465	0.00638048
2.11	6.32175	6.15926	0.00134572	0.00638735
2.12	6.31874	6.1657	0.00130669	0.00639403
2.13	6.31582	6.17195	0.00126756	0.00640051
2.14	6.31299	6.17801	0.00122833	0.00640679
2.15	6.31025	6.18389	0.00118901	0.00641289
2.16	6.30759	6.18957	0.00114959	0.00641879
2.17	6.30502	6.19507	0.00111007	0.00642449
2.18	6.30254	6.20038	0.00107047	0.00642999
2.19	6.30014	6.2055	0.00103076	0.0064353
2.2	6.29784	6.21043	0.000990969	0.00644042
2.21	6.29563	6.21517	0.000951079	0.00644533
2.22	6.2935	6.21972	0.000911094	0.00645005
2.23	6.29146	6.22408	0.000871013	0.00645457
2.24	6.28952	6.22825	0.000830834	0.00645889
2.25	6.28766	6.23222	0.000790556	0.00646301
2.26	6.28589	6.236	0.000750175	0.00646693
2.27	6.28422	6.23959	0.000709687	0.00647065
2.28	6.28263	6.24298	0.000669087	0.00647417
2.29	6.28113	6.24618	0.00062837	0.00647749
2.3	6.27973	6.24919	0.000587525	0.00648061
2.31	6.27842	6.252	0.000546543	0.00648352
