time,value
1,1.4305
2,1.43745
3,1.43977
4,1.43049
5,1.43328
6,1.42386
7,1.41798
8,1.41233
9,1.40815
10,1.41899
11,1.42095
12,1.41975
13,1.39389
14,1.39998
15,1.40378
16,1.40535
17,1.404
18,1.40764
19,1.4061
20,1.40643
21,1.40926
22,1.41053
23,1.41089
24,1.41097
25,1.41104
26,1.41182
27,1.41162
28,1.41069
29,1.41047
30,1.40999
31,1.40974
32,1.40996
33,1.41031
34,1.40982
35,1.41064
36,1.41064
37,1.41058
38,1.41024
39,1.41025
40,1.4107
41,1.41182
42,1.41053
43,1.4144
44,1.41602
45,1.41569
46,1.41512
47,1.41501
48,1.41643
49,1.41666
50,1.41753
51,1.41656
52,1.41647
53,1.41648
54,1.42035
55,1.4204
56,1.42104
57,1.41901
58,1.41934
59,1.41965
60,1.41886
61,1.41893
62,1.41912
63,1.41892
64,1.41848
65,1.41887
66,1.42001
67,1.41926
68,1.42323
69,1.42239
70,1.42328
71,1.42294
72,1.42275
73,1.42246
74,1.42257
75,1.42235
76,1.42215
77,1.42233
78,1.42237
79,1.42268
80,1.42234
81,1.42275
82,1.42241
83,1.42183
84,1.42161
85,1.42119
86,1.42138
87,1.42147
88,1.42181
89,1.42156
90,1.42181
91,1.42098
92,1.42074
93,1.41664
94,1.41725
95,1.41673
96,1.41612
97,1.41629
98,1.41712
99,1.4173
100,1.41757
101,1.41702
102,1.41608
103,1.41549
104,1.41629
105,1.41663
106,1.41691
107,1.41546
108,1.41655
109,1.4168
110,1.41566
111,1.41616
112,1.41617
113,1.41718
114,1.41623
115,1.41585
116,1.41691
117,1.4176
118,1.41734
119,1.41841
120,1.41787
121,1.41806
122,1.41837
123,1.41849
124,1.41858
125,1.41878
126,1.41875
127,1.41899
128,1.41874
129,1.41868
130,1.41821
131,1.41825
132,1.41837
133,1.41823
134,1.41814
135,1.4183
136,1.41856
137,1.41827
138,1.41781
139,1.41788
140,1.41789
141,1.41813
142,1.41739
143,1.4207
144,1.42165
145,1.42212
146,1.42207
147,1.42142
148,1.42129
149,1.42171
150,1.42212
151,1.42167
152,1.422
153,1.42086
154,1.42189
155,1.42218
156,1.42199
157,1.42134
158,1.4215
159,1.42231
160,1.41995
161,1.42064
162,1.42041
163,1.42138
164,1.42046
165,1.41955
166,1.42082
167,1.42192
168,1.42153
169,1.42257
170,1.42212
171,1.42215
172,1.42261
173,1.42247
174,1.42224
175,1.42228
176,1.42222
177,1.42251
178,1.4226
179,1.42285
180,1.42313
181,1.42318
182,1.42325
183,1.42299
184,1.42264
185,1.42304
186,1.42275
187,1.42269
188,1.4226
189,1.42226
190,1.42235
191,1.42219
192,1.4216
193,1.42327
194,1.42408
195,1.42445
196,1.42254
197,1.42201
198,1.42159
199,1.42175
200,1.42221
201,1.42244
202,1.42272
203,1.42235
204,1.42168
205,1.42144
206,1.42095
207,1.42288
208,1.42335
209,1.42399
210,1.42383
211,1.42347
212,1.42368
213,1.41969
214,1.42015
215,1.42013
216,1.4191
217,1.41957
218,1.41992
219,1.41998
220,1.4196
221,1.41956
222,1.41982
223,1.4181
224,1.41824
225,1.4183
226,1.4182
227,1.41815
228,1.41838
229,1.41863
230,1.41905
231,1.41907
232,1.41929
233,1.41886
234,1.41899
235,1.41888
236,1.41915
237,1.41917
238,1.41986
239,1.4201
240,1.41993
241,1.42087
242,1.42081
243,1.42005
244,1.41997
245,1.42079
246,1.41732
247,1.41647
248,1.416
249,1.41637
250,1.41671
251,1.41741
252,1.41759
253,1.41716
254,1.41684
255,1.41673
256,1.417
257,1.4201
258,1.41971
259,1.4202
260,1.41959
261,1.42002
262,1.4209
263,1.41827
264,1.41911
265,1.41927
266,1.42027
267,1.41977
268,1.41992
269,1.4201
270,1.42007
271,1.42011
272,1.42034
273,1.42082
274,1.42106
275,1.42097
276,1.42119
277,1.4209
278,1.42104
279,1.42114
280,1.42127
281,1.42115
282,1.42117
283,1.42105
284,1.42119
285,1.42143
286,1.42161
287,1.42137
288,1.42111
289,1.42138
290,1.42151
291,1.42161
292,1.42196
293,1.42163
294,1.42159
295,1.42157
296,1.41846
297,1.41894
298,1.41885
299,1.41857
300,1.41823
301,1.41849
302,1.41863
303,1.41899
304,1.41887
305,1.41918
306,1.41903
307,1.41838
308,1.41838
309,1.41811
310,1.41817
311,1.41792
312,1.41782
313,1.41825
314,1.41904
315,1.41984
316,1.42122
317,1.42048
318,1.42124
319,1.42019
320,1.4209
321,1.42047
322,1.42053
323,1.42282
324,1.42284
325,1.42262
326,1.42281
327,1.42284
328,1.42297
329,1.42296
330,1.42274
331,1.42251
332,1.42234
333,1.42249
334,1.42277
335,1.42268
336,1.42262
337,1.42268
338,1.42226
339,1.42226
340,1.42224
341,1.42232
342,1.42263
343,1.42294
344,1.42291
345,1.42243
346,1.42564
347,1.42632
348,1.42669
349,1.42654
350,1.42534
351,1.42503
352,1.42521
353,1.4252
354,1.42522
355,1.42544
356,1.4252
357,1.42455
358,1.42486
359,1.42382
360,1.42411
361,1.42412
362,1.42409
363,1.42692
364,1.427
365,1.42783
366,1.42382
367,1.42308
368,1.42365
369,1.42252
370,1.42319
371,1.42296
372,1.42315
373,1.42256
374,1.42286
375,1.42294
376,1.42288
377,1.4226
378,1.4226
379,1.42237
380,1.42218
381,1.42244
382,1.4221
383,1.42164
384,1.42156
385,1.42138
386,1.42129
387,1.42125
388,1.42113
389,1.42084
390,1.42089
391,1.42195
392,1.42296
393,1.42307
394,1.4232
395,1.42261
396,1.42389
397,1.42448
398,1.42454
399,1.42526
400,1.42517
401,1.42452
402,1.42421
403,1.42464
404,1.4253
405,1.42535
406,1.42578
407,1.42574
408,1.42589
409,1.42559
410,1.42521
411,1.42512
412,1.42511
413,1.42722
414,1.42738
415,1.42757
416,1.42501
417,1.42453
418,1.42459
419,1.42506
420,1.42586
421,1.42604
422,1.4263
423,1.4265
424,1.42669
425,1.42666
426,1.42672
427,1.42655
428,1.42677
429,1.42668
430,1.42654
431,1.42687
432,1.42681
433,1.4262
434,1.42637
435,1.42623
436,1.42607
437,1.42605
438,1.42644
439,1.42619
440,1.42634
441,1.42654
442,1.42732
443,1.42722
444,1.42657
445,1.42646
446,1.42442
447,1.42501
448,1.42436
449,1.42409
450,1.42367
451,1.42402
452,1.42394
453,1.42468
454,1.42442
455,1.42409
456,1.42393
457,1.42564
458,1.42476
459,1.42509
460,1.42096
461,1.42198
462,1.4221
463,1.41859
464,1.41918
465,1.41934
466,1.42047
467,1.41978
468,1.4204
469,1.42035
470,1.42068
471,1.4213
472,1.42101
473,1.42081
474,1.42086
475,1.4206
476,1.42091
477,1.4211
478,1.42053
479,1.4209
480,1.42117
481,1.421
482,1.42085
483,1.42018
484,1.42038
485,1.42021
486,1.42027
487,1.42072
488,1.42016
489,1.42003
490,1.42021
491,1.42046
492,1.42105
493,1.42168
494,1.422
495,1.42131
496,1.4213
497,1.42101
498,1.42156
499,1.42041
500,1.42033
501,1.41994
502,1.42053
503,1.41989
504,1.42024
505,1.42046
506,1.42091
507,1.4213
508,1.42134
509,1.42094
510,1.42055
511,1.42077
512,1.42077
513,1.43249
514,1.42255
515,1.42388
516,1.43001
517,1.43289
518,1.43315
519,1.4268
520,1.44072
521,1.44202
522,1.44465
523,1.43427
524,1.42894
525,1.42428
526,1.42559
527,1.4282
528,1.42948
529,1.428
530,1.42611
531,1.42475
532,1.42402
533,1.42162
534,1.42362
535,1.42196
536,1.42268
537,1.42184
538,1.42243
539,1.42336
540,1.41291
541,1.41333
542,1.41205
543,1.41397
544,1.41498
545,1.42294
546,1.42212
547,1.42201
548,1.4222
549,1.42256
550,1.42273
