SupplyPort 2	Current turn 0.5	Port pressure 8.1
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
1.83	5.0739	291.323	547.055
1.84	5.10106	290.876	549.964
1.85	5.12819	290.416	552.868
1.86	5.15527	289.943	555.768
1.87	5.1823	289.456	558.662
1.88	5.20929	288.957	561.552
1.89	5.23624	288.444	564.436
1.9	5.26313	287.917	567.316
1.91	5.28998	287.378	570.189
1.92	5.31678	286.825	573.058
1.93	5.34352	286.258	575.92
1.94	5.37022	285.679	578.777
1.95	5.39685	285.085	581.628
1.96	5.42344	284.478	584.473
1.97	5.44996	283.858	587.311
1.98	5.47643	283.223	590.143
1.99	5.50284	282.575	592.969
2	5.52919	281.914	595.788
2.01	5.55548	281.239	598.601
2.02	5.5817	280.549	601.406
2.03	5.60786	279.846	604.205
2.04	5.63396	279.13	606.996
2.05	5.65998	278.399	609.78
2.06	5.68594	277.654	612.556
2.07	5.71183	276.896	615.325
2.08	5.73765	276.123	618.087
2.09	5.7634	275.337	620.84
2.1	5.78907	274.536	623.585
2.11	5.81467	273.722	626.323
2.12	5.8402	272.893	629.052
2.13	5.86564	272.051	631.772
2.14	5.89101	271.194	634.484
2.15	5.9163	270.323	637.187
2.16	5.94151	269.438	639.882
2.17	5.96663	268.539	642.567
2.18	5.99167	267.626	645.243
2.19	6.01662	266.698	647.91
2.2	6.04149	265.757	650.568
2.21	6.06627	264.801	653.216
2.22	6.09097	263.831	655.854
2.23	6.11557	262.847	658.483
2.24	6.14008	261.848	661.101
2.25	6.16449	260.836	663.709
2.26	6.18881	259.809	666.308
2.27	6.21304	258.768	668.895
2.28	6.23717	257.712	671.472
2.29	6.2612	256.643	674.039
2.3	6.28513	255.559	676.594
2.31	6.30896	254.461	679.139
2.32	6.33269	253.349	681.672
2.33	6.35631	252.223	684.195
2.34	6.37983	251.082	686.705
2.35	6.40324	249.927	689.205
2.36	6.42655	248.758	691.692
2.37	6.44974	247.575	694.168
2.38	6.47283	246.378	696.632
2.39	6.4958	245.167	699.084
2.4	6.51866	243.941	701.523
2.41	6.54141	242.702	703.95
2.42	6.56404	241.448	706.364
2.43	6.58655	240.18	708.766
2.44	6.60895	238.898	711.155
2.45	6.63123	237.603	713.531
2.46	6.65338	236.293	715.894
2.47	6.67542	234.969	718.244
2.48	6.69732	233.632	720.58
2.49	6.71911	232.28	722.903
2.5	6.74077	230.915	725.212
2.51	6.7623	229.536	727.508
2.52	6.7837	228.143	729.789
2.53	6.80498	226.736	732.056
2.54	6.82612	225.315	734.309
2.55	6.84713	223.881	736.548
2.56	6.86801	222.434	738.773
2.57	6.88875	220.972	740.982
2.58	6.90935	219.497	743.177
2.59	6.92982	218.009	745.357
2.6	6.95015	216.507	747.522
2.61	6.97034	214.992	749.672
2.62	6.99038	213.463	751.807
2.63	7.01029	211.922	753.926
2.64	7.03005	210.366	756.03
2.65	7.04966	208.798	758.118
2.66	7.06913	207.217	760.19
2.67	7.08846	205.622	762.246
2.68	7.10763	204.015	764.286
2.69	7.12665	202.394	766.31
2.7	7.14552	200.761	768.318
2.71	7.16424	199.115	770.309
2.72	7.18281	197.456	772.284
2.73	7.20122	195.785	774.242
2.74	7.21948	194.1	776.183
2.75	7.23758	192.404	778.107
2.76	7.25552	190.694	780.013
2.77	7.2733	188.973	781.903
2.78	7.29092	187.239	783.776
2.79	7.30838	185.493	785.631
2.8	7.32568	183.735	787.468
2.81	7.34281	181.964	789.288
2.82	7.35978	180.182	791.089
2.83	7.37658	178.388	792.873
2.84	7.39321	176.581	794.639
2.85	7.40968	174.764	796.387
2.86	7.42597	172.934	798.116
2.87	7.4421	171.093	799.827
2.88	7.45805	169.24	801.519
2.89	7.47383	167.376	803.193
2.9	7.48944	165.501	804.848
2.91	7.50487	163.615	806.484
2.92	7.52013	161.717	808.101
2.93	7.53521	159.809	809.7
2.94	7.55011	157.889	811.278
2.95	7.56483	155.959	812.838
2.96	7.57938	154.018	814.378
2.97	7.59374	152.066	815.899
2.98	7.60792	150.104	817.4
2.99	7.62191	148.132	818.881
3	7.63573	146.149	820.343
3.01	7.64935	144.156	821.784
3.02	7.6628	142.153	823.206
3.03	7.67605	140.14	824.607
3.04	7.68912	138.117	825.988
3.05	7.702	136.084	827.349
3.06	7.71469	134.042	828.69
3.07	7.72719	131.99	830.01
3.08	7.73949	129.929	831.309
3.09	7.75161	127.858	832.587
3.1	7.76353	125.778	833.845
3.11	7.77526	0	833.845
