LeakagePort 1	Current turn 0.5	Pressure storage 8.57326	Pressure reaction 0.0347283
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	8.57036	0.0361983	0.000901695	0.82035
1.4e-06	8.18525	0.38821	0.000861177	0.82035
0.503262	8.10331	0.583547	0.000852473	0.82035
1.00895	7.87219	1.12903	0.000828159	0.820563
1.50598	7.80849	1.29357	0.000821496	0.820771
2.01042	7.56743	1.84945	0.000796057	0.820973
2.50983	7.50279	2.02402	0.000789258	0.821173
3.022	7.30553	2.48996	0.000768506	0.821368
3.54211	7.12129	2.92428	0.000749125	0.821563
4.04641	7.0628	3.0609	0.000743046	0.821757
4.5979	6.90674	3.44332	0.000726627	0.821942
5.05573	6.84861	3.57144	0.000720512	0.822141
5.60635	6.69383	3.95648	0.000697772	0.822305
6.09023	6.6705	4.01839	0.000692853	0.822495
6.57275	6.53029	4.33707	0.000657731	0.822662
7.02524	6.50115	4.42523	0.000647119	0.822819
7.55652	6.38995	4.66527	0.000607548	0.822964
8.04009	6.36994	4.7286	0.000597128	0.823125
8.55526	6.27917	4.94005	0.000552639	0.823268
9.05525	6.26702	4.97187	0.000545369	0.823409
9.56886	6.1975	5.14216	0.000501552	0.823544
10.0863	6.18196	5.16968	0.000492679	0.823672
10.5872	6.12591	5.30429	0.0004502	0.823798
11.0874	6.1178	5.33291	0.000441359	0.82391
11.5995	6.07803	5.43835	0.000402701	0.82402
12.114	6.06529	5.45754	0.000393294	0.824122
12.6293	6.04028	5.52394	0.000364923	0.824222
13.2301	6.00833	5.5795	0.000334412	0.824316
13.6418	5.99875	5.6031	0.000321989	0.824415
14.1732	5.98461	5.62905	0.000306019	0.824481
14.6665	5.97829	5.65987	0.000290427	0.824562
15.1618	5.95558	5.68043	0.000270529	0.824633
15.6778	5.95528	5.70219	0.000260012	0.824699
