LeakagePort 1	Current turn 0.5	Pressure storage 13.5116	Pressure reaction 1.47344	Used volumes E, B
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
2.21	11.8832	4.95038	0.00309611	0.00513454
2.22	11.8763	4.96519	0.0030943	0.0051499
2.23	11.8693	4.97999	0.0030925	0.00516525
2.24	11.8624	4.99478	0.00309069	0.00518059
2.25	11.8555	5.00956	0.00308889	0.00519592
2.26	11.8486	5.02433	0.00308709	0.00521124
2.27	11.8416	5.0391	0.00308528	0.00522655
2.28	11.8347	5.05385	0.00308348	0.00524186
2.29	11.8278	5.0686	0.00308168	0.00525715
2.3	11.8209	5.08333	0.00307989	0.00527244
2.31	11.814	5.09806	0.00307809	0.00528771
2.32	11.8071	5.11278	0.00307629	0.00530298
2.33	11.8002	5.1275	0.0030745	0.00531824
2.34	11.7934	5.1422	0.0030727	0.00533349
2.35	11.7865	5.1569	0.00307091	0.00534873
2.36	11.7796	5.17158	0.00306912	0.00536397
2.37	11.7727	5.18626	0.00306733	0.00537919
2.38	11.7659	5.20093	0.00306554	0.00539441
2.39	11.759	5.21559	0.00306375	0.00540961
2.4	11.7521	5.23024	0.00306196	0.00542481
2.41	11.7453	5.24488	0.00306017	0.00544
2.42	11.7384	5.25952	0.00305839	0.00545518
2.43	11.7316	5.27415	0.0030566	0.00547035
2.44	11.7247	5.28876	0.00305482	0.00548551
2.45	11.7179	5.30337	0.00305304	0.00550066
2.46	11.711	5.31797	0.00305125	0.00551581
2.47	11.7042	5.33257	0.00304947	0.00553094
2.48	11.6974	5.34715	0.00304769	0.00554607
2.49	11.6905	5.36173	0.00304592	0.00556119
2.5	11.6837	5.37629	0.00304414	0.00557629
2.51	11.6769	5.39085	0.00304236	0.00559139
2.52	11.6701	5.4054	0.00304059	0.00560648
2.53	11.6633	5.41994	0.00303881	0.00562157
2.54	11.6565	5.43448	0.00303704	0.00563664
2.55	11.6497	5.449	0.00303527	0.00565171
2.56	11.6429	5.46352	0.0030335	0.00566676
2.57	11.6361	5.47802	0.00303172	0.00568181
2.58	11.6293	5.49252	0.00302996	0.00569685
2.59	11.6225	5.50701	0.00302819	0.00571188
2.6	11.6157	5.52149	0.00302642	0.0057269
2.61	11.6089	5.53597	0.00302465	0.00574191
2.62	11.6022	5.55043	0.00302289	0.00575691
2.63	11.5954	5.56489	0.00302113	0.00577191
2.64	11.5886	5.57934	0.00301936	0.00578689
2.65	11.5819	5.59378	0.0030176	0.00580187
2.66	11.5751	5.60821	0.00301584	0.00581684
2.67	11.5684	5.62263	0.00301408	0.0058318
2.68	11.5616	5.63705	0.00301232	0.00584675
2.69	11.5549	5.65145	0.00301056	0.00586169
2.7	11.5481	5.66585	0.00300881	0.00587662
2.71	11.5414	5.68024	0.00300705	0.00589155
2.72	11.5346	5.69462	0.0030053	0.00590646
2.73	11.5279	5.70899	0.00300354	0.00592137
2.74	11.5212	5.72336	0.00300179	0.00593627
2.75	11.5145	5.73771	0.00300004	0.00595116
2.76	11.5077	5.75206	0.00299829	0.00596604
2.77	11.501	5.7664	0.00299654	0.00598091
2.78	11.4943	5.78073	0.00299479	0.00599578
2.79	11.4876	5.79505	0.00299304	0.00601063
2.8	11.4809	5.80937	0.00299129	0.00602548
2.81	11.4742	5.82367	0.00298955	0.00604032
2.82	11.4675	5.83797	0.0029878	0.00605515
2.83	11.4608	5.85226	0.00298606	0.00606997
