LeakagePort 1	Current turn 0.5	Pressure storage 11.6818	Pressure reaction 1.63873
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
1.2	11.1159	2.8544	0.00209053	0.00297118
1.21	11.1113	2.86436	0.00208966	0.00298155
1.22	11.1066	2.87432	0.00208879	0.00299192
1.23	11.102	2.88427	0.00208792	0.00300228
1.24	11.0974	2.89422	0.00208704	0.00301264
1.25	11.0927	2.90417	0.00208617	0.00302299
1.26	11.0881	2.91411	0.0020853	0.00303334
1.27	11.0835	2.92404	0.00208443	0.00304368
1.28	11.0789	2.93398	0.00208356	0.00305402
1.29	11.0742	2.94391	0.00208269	0.00306436
1.3	11.0696	2.95383	0.00208183	0.00307469
1.31	11.065	2.96375	0.00208096	0.00308501
1.32	11.0604	2.97367	0.00208009	0.00309534
1.33	11.0558	2.98358	0.00207922	0.00310565
1.34	11.0512	2.99349	0.00207835	0.00311597
1.35	11.0465	3.00339	0.00207749	0.00312628
1.36	11.0419	3.01329	0.00207662	0.00313658
1.37	11.0373	3.02319	0.00207575	0.00314688
1.38	11.0327	3.03308	0.00207489	0.00315718
1.39	11.0281	3.04297	0.00207402	0.00316747
1.4	11.0235	3.05285	0.00207316	0.00317776
1.41	11.0189	3.06273	0.00207229	0.00318804
1.42	11.0143	3.07261	0.00207143	0.00319832
1.43	11.0097	3.08248	0.00207056	0.0032086
1.44	11.0051	3.09234	0.0020697	0.00321887
1.45	11.0005	3.10221	0.00206884	0.00322913
1.46	10.996	3.11207	0.00206797	0.00323939
1.47	10.9914	3.12192	0.00206711	0.00324965
1.48	10.9868	3.13177	0.00206625	0.00325991
1.49	10.9822	3.14162	0.00206539	0.00327016
1.5	10.9776	3.15146	0.00206452	0.0032804
1.51	10.973	3.1613	0.00206366	0.00329064
1.52	10.9685	3.17113	0.0020628	0.00330088
1.53	10.9639	3.18096	0.00206194	0.00331111
1.54	10.9593	3.19079	0.00206108	0.00332134
1.55	10.9547	3.20061	0.00206022	0.00333156
1.56	10.9502	3.21043	0.00205936	0.00334178
1.57	10.9456	3.22024	0.0020585	0.003352
1.58	10.941	3.23005	0.00205764	0.00336221
1.59	10.9365	3.23985	0.00205678	0.00337241
1.6	10.9319	3.24966	0.00205593	0.00338262
1.61	10.9273	3.25945	0.00205507	0.00339281
1.62	10.9228	3.26925	0.00205421	0.00340301
1.63	10.9182	3.27904	0.00205335	0.0034132
1.64	10.9137	3.28882	0.0020525	0.00342338
1.65	10.9091	3.2986	0.00205164	0.00343356
1.66	10.9046	3.30838	0.00205079	0.00344374
1.67	10.9	3.31815	0.00204993	0.00345391
1.68	10.8955	3.32792	0.00204907	0.00346408
1.69	10.8909	3.33768	0.00204822	0.00347424
1.7	10.8864	3.34744	0.00204737	0.0034844
1.71	10.8818	3.3572	0.00204651	0.00349456
1.72	10.8773	3.36695	0.00204566	0.00350471
1.73	10.8728	3.3767	0.0020448	0.00351486
1.74	10.8682	3.38645	0.00204395	0.003525
1.75	10.8637	3.39619	0.0020431	0.00353514
1.76	10.8592	3.40592	0.00204225	0.00354527
1.77	10.8546	3.41565	0.00204139	0.0035554
1.78	10.8501	3.42538	0.00204054	0.00356553
1.79	10.8456	3.43511	0.00203969	0.00357565
1.8	10.841	3.44483	0.00203884	0.00358577
1.81	10.8365	3.45454	0.00203799	0.00359588
1.82	10.832	3.46425	0.00203714	0.00360599
1.83	10.8275	3.47396	0.00203629	0.0036161
1.84	10.823	3.48366	0.00203544	0.0036262
1.85	10.8185	3.49336	0.00203459	0.00363629
1.86	10.8139	3.50306	0.00203374	0.00364639
1.87	10.8094	3.51275	0.00203289	0.00365647
1.88	10.8049	3.52244	0.00203204	0.00366656
1.89	10.8004	3.53212	0.0020312	0.00367664
1.9	10.7959	3.5418	0.00203035	0.00368671
1.91	10.7914	3.55148	0.0020295	0.00369678
1.92	10.7869	3.56115	0.00202866	0.00370685
1.93	10.7824	3.57081	0.00202781	0.00371691
1.94	10.7779	3.58048	0.00202696	0.00372697
1.95	10.7734	3.59014	0.00202612	0.00373703
1.96	10.7689	3.59979	0.00202527	0.00374708
1.97	10.7644	3.60944	0.00202443	0.00375712
1.98	10.7599	3.61909	0.00202358	0.00376716
