time,value
1,1.01579
2,1.01677
3,1.01721
4,1.01847
5,1.01791
6,1.01872
7,1.01857
8,1.01839
9,1.01847
10,1.01855
11,1.0186
12,1.01859
13,1.01883
14,1.01876
15,1.01822
16,1.01766
17,1.01817
18,1.01842
19,1.01821
20,1.01821
21,1.01854
22,1.0189
23,1.01886
24,1.01832
25,1.01853
26,1.01883
27,1.01918
28,1.01853
29,1.01841
30,1.01832
31,1.01815
32,1.018
33,1.01795
34,1.01809
35,1.0177
36,1.01767
37,1.01793
38,1.01785
39,1.01793
40,1.01802
41,1.01782
42,1.01819
43,1.01802
44,1.01771
45,1.01715
46,1.01742
47,1.01762
48,1.01665
49,1.0167
50,1.01655
51,1.01643
52,1.01667
53,1.01692
54,1.01662
55,1.01667
56,1.01644
57,1.01624
58,1.01584
59,1.01579
60,1.01551
61,1.01502
62,1.01487
63,1.01494
64,1.0152
65,1.01488
66,1.01456
67,1.01478
68,1.01474
69,1.01498
70,1.01505
71,1.0154
72,1.01563
73,1.01552
74,1.01559
75,1.01542
76,1.01527
77,1.01511
78,1.01501
79,1.01491
80,1.01498
81,1.0145
82,1.01452
83,1.01426
84,1.01459
85,1.01439
86,1.01477
87,1.01465
88,1.01473
89,1.01432
90,1.01443
91,1.01454
92,1.01478
93,1.01505
94,1.01512
95,1.01524
96,1.01498
97,1.01491
98,1.01478
99,1.01455
100,1.01396
101,1.01351
102,1.01391
103,1.01402
104,1.01344
105,1.01314
106,1.01382
107,1.01298
108,1.01339
109,1.01281
110,1.0147
111,1.01441
112,1.01513
113,1.01439
114,1.01503
115,1.01487
116,1.01489
117,1.01393
118,1.01318
119,1.01344
120,1.0106
121,1.01129
122,1.01136
123,1.01248
124,1.01239
125,1.01242
126,1.01358
127,1.01378
128,1.01421
129,1.01404
130,1.01337
131,1.01271
132,1.01328
133,1.01332
134,1.01397
135,1.014
136,1.01517
137,1.01443
138,1.01348
139,1.01348
140,1.01411
141,1.01491
142,1.01454
143,1.01411
144,1.01375
145,1.01386
146,1.01484
147,1.01575
148,1.01642
149,1.01597
150,1.01567
151,1.01492
152,1.01544
153,1.01497
154,1.01476
155,1.01509
156,1.01549
157,1.01572
158,1.01436
159,1.01377
160,1.01307
161,1.01306
162,1.01285
163,1.01356
164,1.01371
165,1.01388
166,1.01422
167,1.01458
168,1.01504
169,1.01612
170,1.01715
171,1.01741
172,1.01733
173,1.01662
174,1.0165
175,1.01691
176,1.01698
177,1.01769
178,1.0168
179,1.01713
180,1.01669
181,1.01727
182,1.01647
183,1.01566
184,1.01658
185,1.0171
186,1.01767
187,1.0179
188,1.01785
189,1.01746
190,1.01724
191,1.01692
192,1.01657
193,1.01681
194,1.017
195,1.01757
196,1.0173
197,1.01655
198,1.01655
199,1.01648
200,1.01636
201,1.01664
202,1.01747
203,1.01767
204,1.01751
205,1.01754
206,1.01758
207,1.0175
208,1.01678
209,1.01649
210,1.0169
211,1.01678
212,1.01766
213,1.01521
214,1.015
215,1.01409
216,1.0154
217,1.01516
218,1.01498
219,1.0163
220,1.0168
221,1.01723
222,1.01699
223,1.01606
224,1.01553
225,1.01545
226,1.01839
227,1.01919
228,1.01996
229,1.01678
230,1.0164
231,1.01539
232,1.01585
233,1.0166
234,1.01768
235,1.01889
236,1.01829
237,1.01736
238,1.01735
239,1.0161
240,1.01691
241,1.01597
242,1.01692
243,1.0168
244,1.01796
245,1.0191
246,1.01886
247,1.0179
248,1.01793
249,1.0145
250,1.01461
251,1.01351
252,1.01483
253,1.01493
254,1.01522
255,1.01554
256,1.01538
257,1.01531
258,1.01526
259,1.0153
260,1.01553
261,1.01593
262,1.01576
263,1.01554
264,1.01577
265,1.01558
266,1.01514
267,1.01512
268,1.01472
269,1.01468
270,1.01467
271,1.01489
272,1.01465
273,1.01487
274,1.01513
275,1.01542
276,1.01499
277,1.01461
278,1.0146
279,1.01479
280,1.01486
281,1.01477
282,1.0152
283,1.01532
284,1.01584
285,1.01581
286,1.01646
287,1.0162
288,1.01606
289,1.01583
290,1.016
291,1.016
292,1.01564
293,1.01564
294,1.01598
295,1.01565
296,1.01529
297,1.015
298,1.01523
299,1.01513
300,1.01542
301,1.0156
302,1.0158
303,1.01572
