LeakagePort 0	Current turn 0.5	Pressure storage 41.2342	Pressure reaction 8.04785
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	41.2328	8.05267	0.0405129	189.66
1.6e-06	38.7379	14.4676	0.0380652	189.66
0.512498	35.8812	20.2561	0.0258539	189.66
1.02801	31.3715	29.6206	0.009785	189.666
1.5738	30.9439	30.4251	0.00536045	189.669
2.04137	30.7453	30.63	0.00252978	189.67
2.55084	30.7186	30.6293	0.00222513	189.671
3.06868	30.704	30.6236	0.00211222	189.671
3.58173	30.7075	30.6333	0.00202787	189.672
4.06242	30.7138	30.6262	0.00220439	189.672
4.6606	30.7115	30.6311	0.0021124	189.673
5.12114	30.7027	30.6304	0.00200253	189.674
5.62875	30.7046	30.6353	0.00196065	189.674
