LeakagePort 1	Current turn 0.5	Pressure storage 8.57326	Pressure reaction 0.0347283
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	8.57326	0.0347283	0.000902	3.61214e-05
0.01	8.57326	0.0347283	0.000902	3.61214e-05
0.02	8.57125	0.03903	0.000901789	4.05956e-05
0.03	8.56924	0.0433306	0.000901577	4.50687e-05
0.04	8.56723	0.0476303	0.000901366	4.95408e-05
0.05	8.56523	0.0519289	0.000901155	5.40119e-05
0.06	8.56322	0.0562266	0.000900944	5.84819e-05
0.07	8.56121	0.0605232	0.000900733	6.29509e-05
0.08	8.55921	0.0648188	0.000900522	6.74188e-05
0.09	8.5572	0.0691134	0.000900311	7.18857e-05
0.1	8.5552	0.073407	0.0009001	7.63515e-05
0.11	8.55319	0.0776996	0.000899889	8.08163e-05
0.12	8.55119	0.0819912	0.000899678	8.528e-05
0.13	8.54919	0.0862818	0.000899467	8.97427e-05
0.14	8.54718	0.0905714	0.000899257	9.42044e-05
0.15	8.54518	0.0948599	0.000899046	9.8665e-05
0.16	8.54318	0.0991475	0.000898835	0.000103125
0.17	8.54118	0.103434	0.000898625	0.000107583
0.18	8.53918	0.10772	0.000898414	0.00011204
0.19	8.53718	0.112004	0.000898204	0.000116497
0.2	8.53518	0.116288	0.000897993	0.000120952
0.21	8.53318	0.12057	0.000897783	0.000125407
0.22	8.53118	0.124852	0.000897573	0.00012986
0.23	8.52918	0.129132	0.000897363	0.000134312
0.24	8.52718	0.133412	0.000897152	0.000138763
0.25	8.52518	0.13769	0.000896942	0.000143214
0.26	8.52319	0.141968	0.000896732	0.000147663
0.27	8.52119	0.146245	0.000896522	0.000152111
0.28	8.51919	0.15052	0.000896312	0.000156558
0.29	8.5172	0.154795	0.000896102	0.000161004
0.3	8.5152	0.159068	0.000895892	0.000165449
0.31	8.51321	0.163341	0.000895682	0.000169893
0.32	8.51121	0.167612	0.000895472	0.000174335
0.33	8.50922	0.171883	0.000895262	0.000178777
0.34	8.50723	0.176152	0.000895053	0.000183218
0.35	8.50523	0.180421	0.000894843	0.000187658
0.36	8.50324	0.184688	0.000894633	0.000192097
0.37	8.50125	0.188955	0.000894424	0.000196534
0.38	8.49926	0.19322	0.000894214	0.000200971
0.39	8.49726	0.197485	0.000894005	0.000205406
0.4	8.49527	0.201748	0.000893795	0.000209841
0.41	8.49328	0.206011	0.000893586	0.000214274
0.42	8.49129	0.210272	0.000893377	0.000218707
0.43	8.4893	0.214533	0.000893167	0.000223138
0.44	8.48732	0.218793	0.000892958	0.000227569
0.45	8.48533	0.223051	0.000892749	0.000231998
0.46	8.48334	0.227309	0.00089254	0.000236426
0.47	8.48135	0.231565	0.000892331	0.000240854
0.48	8.47937	0.235821	0.000892122	0.00024528
0.49	8.47738	0.240075	0.000891913	0.000249705
0.5	8.47539	0.244329	0.000891704	0.000254129
0.51	8.47341	0.248581	0.000891495	0.000258552
0.52	8.47142	0.252833	0.000891286	0.000262975
0.53	8.46944	0.257083	0.000891077	0.000267396
0.54	8.46745	0.261333	0.000890868	0.000271816
0.55	8.46547	0.265582	0.00089066	0.000276235
0.56	8.46349	0.269829	0.000890451	0.000280653
0.57	8.4615	0.274076	0.000890242	0.00028507
0.58	8.45952	0.278321	0.000890034	0.000289485
0.59	8.45754	0.282566	0.000889825	0.0002939
0.6	8.45556	0.28681	0.000889617	0.000298314
0.61	8.45358	0.291052	0.000889408	0.000302727
0.62	8.4516	0.295294	0.0008892	0.000307139
0.63	8.44962	0.299534	0.000888992	0.000311549
0.64	8.44764	0.303774	0.000888783	0.000315959
0.65	8.44566	0.308013	0.000888575	0.000320368
0.66	8.44368	0.31225	0.000888367	0.000324775
0.67	8.4417	0.316487	0.000888159	0.000329182
0.68	8.43972	0.320723	0.000887951	0.000333587
0.69	8.43775	0.324957	0.000887743	0.000337992
0.7	8.43577	0.329191	0.000887535	0.000342395
0.71	8.43379	0.333424	0.000887327	0.000346798
0.72	8.43182	0.337655	0.000887119	0.000351199
0.73	8.42984	0.341886	0.000886911	0.0003556
0.74	8.42787	0.346116	0.000886704	0.000359999
0.75	8.42589	0.350344	0.000886496	0.000364397
0.76	8.42392	0.354572	0.000886288	0.000368795
0.77	8.42195	0.358799	0.00088608	0.000373191
0.78	8.41997	0.363025	0.000885873	0.000377586
0.79	8.418	0.367249	0.000885665	0.00038198
0.8	8.41603	0.371473	0.000885458	0.000386374
0.81	8.41406	0.375696	0.00088525	0.000390766
0.82	8.41209	0.379918	0.000885043	0.000395157
0.83	8.41012	0.384138	0.000884836	0.000399547
0.84	8.40815	0.388358	0.000884628	0.000403936
0.85	8.40618	0.392577	0.000884421	0.000408324
0.86	8.40421	0.396795	0.000884214	0.000412711
0.87	8.40224	0.401012	0.000884007	0.000417097
0.88	8.40027	0.405227	0.0008838	0.000421482
