SupplyPort 1	Port pressure 28
Elapsed	Pressure	Rate
0	0.123372	0.00733847
0.01	0.123372	0.00733847
0.02	0.156497	0.00733847
0.03	0.189622	0.00733847
0.04	0.222747	0.00733847
0.05	0.255872	0.00733847
0.06	0.288997	0.00733847
0.07	0.322122	0.00733847
0.08	0.355247	0.00733847
0.09	0.388372	0.00733847
0.1	0.421497	0.00733847
0.11	0.454622	0.00733847
0.12	0.487747	0.00733847
0.13	0.520872	0.00733847
0.14	0.553997	0.00733847
0.15	0.587121	0.00733847
0.16	0.620246	0.00733847
0.17	0.653371	0.00733847
0.18	0.686496	0.00733847
0.19	0.719621	0.00733847
0.2	0.752746	0.00733847
0.21	0.785871	0.00733847
0.22	0.818996	0.00733847
0.23	0.852121	0.00733847
0.24	0.885246	0.00733847
0.25	0.918371	0.00733847
0.26	0.951496	0.00733847
0.27	0.984621	0.00733847
0.28	1.01775	0.00733847
0.29	1.05087	0.00733847
0.3	1.084	0.00733847
0.31	1.11712	0.00733847
0.32	1.15025	0.00733847
0.33	1.18337	0.00733847
0.34	1.2165	0.00733847
0.35	1.24962	0.00733847
0.36	1.28275	0.00733847
0.37	1.31587	0.00733847
0.38	1.349	0.00733847
0.39	1.38212	0.00733847
0.4	1.41525	0.00733847
0.41	1.44837	0.00733847
0.42	1.4815	0.00733847
0.43	1.51462	0.00733847
0.44	1.54775	0.00733847
0.45	1.58087	0.00733847
0.46	1.614	0.00733847
0.47	1.64712	0.00733847
0.48	1.68025	0.00733847
0.49	1.71337	0.00733847
0.5	1.7465	0.00733847
0.51	1.77962	0.00733847
0.52	1.81275	0.00733847
0.53	1.84587	0.00733847
0.54	1.879	0.00733847
0.55	1.91212	0.00733847
0.56	1.94525	0.00733847
0.57	1.97837	0.00733847
0.58	2.0115	0.00733847
0.59	2.04462	0.00733847
0.6	2.07774	0.00733847
0.61	2.11087	0.00733847
0.62	2.14399	0.00733847
0.63	2.17712	0.00733847
0.64	2.21024	0.00733847
0.65	2.24337	0.00733847
0.66	2.27649	0.00733847
0.67	2.30962	0.00733847
0.68	2.34274	0.00733847
0.69	2.37587	0.00733847
0.7	2.40899	0.00733847
0.71	2.44212	0.00733847
0.72	2.47524	0.00733847
0.73	2.50837	0.00733847
0.74	2.54149	0.00733847
0.75	2.57462	0.00733847
0.76	2.60774	0.00733847
0.77	2.64087	0.00733847
0.78	2.67399	0.00733847
0.79	2.70712	0.00733847
0.8	2.74024	0.00733847
0.81	2.77337	0.00733847
0.82	2.80649	0.00733847
0.83	2.83962	0.00733847
0.84	2.87274	0.00733847
0.85	2.90587	0.00733847
0.86	2.93899	0.00733847
0.87	2.97212	0.00733847
