SupplyPort 1	Port pressure 28
Elapsed	Pressure	Rate
2.12	14.4231	0.0146651
2.13	14.4894	0.0146651
2.14	14.5557	0.0146651
2.15	14.622	0.0146651
2.16	14.6883	0.0146651
2.17	14.7546	0.0146651
2.18	14.8209	0.0146651
2.19	14.8931	0.0159714
2.2	14.9651	0.0159268
2.21	15.0369	0.0158818
2.22	15.1085	0.0158364
2.23	15.1799	0.0157905
2.24	15.2511	0.0157443
2.25	15.3221	0.0156975
2.26	15.3928	0.0156504
2.27	15.4634	0.0156029
2.28	15.5337	0.015555
2.29	15.6038	0.0155067
2.3	15.6737	0.015458
2.31	15.7434	0.0154089
2.32	15.8128	0.0153595
2.33	15.882	0.0153098
2.34	15.951	0.0152597
2.35	16.0198	0.0152092
2.36	16.0883	0.0151585
2.37	16.1566	0.0151074
2.38	16.2247	0.015056
2.39	16.2925	0.0150042
2.4	16.3601	0.0149522
2.41	16.4275	0.0148999
2.42	16.4946	0.0148474
2.43	16.5615	0.0147945
2.44	16.6282	0.0147414
2.45	16.6946	0.014688
2.46	16.7607	0.0146344
2.47	16.8267	0.0145805
2.48	16.8923	0.0145264
2.49	16.9578	0.014472
2.5	17.023	0.0144175
2.51	17.0879	0.0143627
2.52	17.1526	0.0143077
2.53	17.217	0.0142525
2.54	17.2812	0.0141971
2.55	17.3451	0.0141415
2.56	17.4088	0.0140858
2.57	17.4723	0.0140298
2.58	17.5354	0.0139737
2.59	17.5984	0.0139174
2.6	17.661	0.013861
2.61	17.7234	0.0138044
2.62	17.7856	0.0137477
2.63	17.8475	0.0136909
2.64	17.9091	0.0136339
2.65	17.9705	0.0135768
2.66	18.0316	0.0135196
2.67	18.0925	0.0134622
2.68	18.1531	0.0134048
2.69	18.2135	0.0133473
2.7	18.2735	0.0132896
2.71	18.3334	0.0132319
2.72	18.3929	0.0131741
2.73	18.4522	0.0131162
2.74	18.5113	0.0130583
2.75	18.57	0.0130002
2.76	18.6285	0.0129422
2.77	18.6868	0.012884
2.78	18.7448	0.0128258
2.79	18.8025	0.0127676
2.8	18.86	0.0127093
2.81	18.9172	0.012651
2.82	18.9741	0.0125927
2.83	19.0308	0.0125343
2.84	19.0872	0.012476
2.85	19.1433	0.0124176
2.86	19.1992	0.0123592
2.87	19.2548	0.0123008
2.88	19.3102	0.0122424
2.89	19.3653	0.012184
2.9	19.4201	0.0121256
2.91	19.4746	0.0120672
2.92	19.5289	0.0120088
2.93	19.583	0.0119505
2.94	19.6367	0.0118922
2.95	19.6902	0.0118339
2.96	19.7435	0.0117757
2.97	19.7964	0.0117175
2.98	19.8492	0.0116593
2.99	19.9016	0.0116012
3	19.9538	0.0115431
3.01	20.0057	0.0114851
3.02	20.0574	0.0114272
3.03	20.1088	0.0113693
3.04	20.1599	0.0113114
3.05	20.2108	0.0112537
3.06	20.2614	0.011196
3.07	20.3118	0.0111384
3.08	20.3619	0.0110809
3.09	20.4117	0.0110234
3.1	20.4613	0.0109661
3.11	20.5106	0.0109088
3.12	20.5597	0.0108517
3.13	20.6085	0.0107946
3.14	20.657	0.0107376
3.15	20.7053	0.0106807
3.16	20.7534	0.010624
3.17	20.8011	0.0105673
3.18	20.8487	0.0105108
3.19	20.8959	0.0104543
3.2	20.9429	0.010398
3.21	20.9897	0.0103418
3.22	21.0362	0.0102857
3.23	21.0824	0.0102298
3.24	21.1284	0.010174
3.25	21.1742	0.0101183
3.26	21.2197	0.0100627
3.27	21.2649	0.0100073
3.28	21.3099	0.00995201
3.29	21.3547	0.00989686
3.3	21.3992	0.00984186
3.31	21.4434	0.009787
3.32	21.4874	0.00973228
3.33	21.5312	0.00967771
3.34	21.5747	0.0096233
3.35	21.6179	0.00956904
3.36	21.661	0.00951493
3.37	21.7037	0.00946097
3.38	21.7463	0.00940718
3.39	21.7886	0.00935355
3.4	21.8306	0.00930007
3.41	21.8724	0.00924677
3.42	21.914	0.00919362
3.43	21.9553	0.00914065
3.44	21.9964	0.00908784
3.45	22.0372	0.00903521
3.46	22.0778	0.00898274
3.47	22.1182	0.00893045
3.48	22.1584	0.00887834
3.49	22.1983	0.0088264
3.5	22.2379	0.00877464
3.51	22.2774	0.00872306
3.52	22.3166	0.00867165
3.53	22.3556	0.00862043
