time,value
0,1.12221
1,1.12221
2,1.12297
3,1.12305
4,1.1231
5,1.12371
6,1.12339
7,1.12435
8,1.12438
9,1.12377
10,1.12426
11,1.12401
12,1.12391
13,1.12428
14,1.12442
15,1.12423
16,1.12443
17,1.12449
18,1.12455
19,1.12352
20,1.12325
21,1.1231
22,1.1229
23,1.12279
24,1.12401
25,1.12433
26,1.12444
27,1.12377
28,1.1239
29,1.1243
30,1.12427
31,1.12386
32,1.12379
33,1.12402
34,1.12344
35,1.12357
36,1.12403
37,1.12365
38,1.12386
39,1.12334
40,1.12355
41,1.1232
42,1.11968
43,1.11944
44,1.11898
45,1.1192
46,1.11914
47,1.11899
48,1.11902
49,1.11909
50,1.11903
51,1.1188
52,1.11902
53,1.11885
54,1.11874
55,1.11876
56,1.11901
57,1.11873
58,1.11836
59,1.11856
60,1.11851
61,1.11845
62,1.11848
63,1.11899
64,1.11904
65,1.1192
66,1.1195
67,1.11971
68,1.12014
69,1.11993
70,1.11969
71,1.11961
72,1.11968
73,1.11961
74,1.11952
75,1.11928
76,1.1195
77,1.11915
78,1.11931
79,1.11877
80,1.11969
81,1.12031
82,1.11998
83,1.11974
84,1.1195
85,1.12181
86,1.12196
87,1.12158
88,1.12184
89,1.12199
90,1.12172
91,1.12196
92,1.12213
93,1.12228
94,1.12279
95,1.12292
96,1.12278
97,1.12247
98,1.123
99,1.12266
100,1.12311
101,1.12383
102,1.12336
103,1.1238
104,1.12375
105,1.12335
106,1.12323
107,1.12375
108,1.12415
109,1.12435
110,1.12419
111,1.12391
112,1.12412
113,1.12401
114,1.12399
115,1.12431
116,1.12409
117,1.12474
118,1.12468
119,1.12535
120,1.12531
121,1.12709
122,1.12655
123,1.12661
124,1.12669
125,1.12685
126,1.12677
127,1.12679
128,1.12687
129,1.12695
130,1.12659
131,1.12606
132,1.12662
133,1.12656
134,1.12626
135,1.1269
136,1.12748
137,1.12722
138,1.12757
139,1.12725
140,1.12691
141,1.12679
142,1.12682
143,1.12581
144,1.12557
145,1.12578
146,1.12568
147,1.12513
148,1.12789
149,1.12871
150,1.12809
151,1.12774
152,1.12733
153,1.12704
154,1.12756
155,1.12853
156,1.12867
157,1.12869
158,1.12866
159,1.12849
160,1.12863
161,1.12849
162,1.12844
163,1.12819
164,1.12828
165,1.1282
166,1.12818
167,1.12807
168,1.12805
169,1.12747
170,1.12735
171,1.1272
172,1.12727
173,1.12712
174,1.12739
175,1.12752
176,1.12726
177,1.12708
178,1.12713
179,1.12715
180,1.12667
181,1.12644
182,1.12636
183,1.12662
184,1.12648
185,1.12634
186,1.12606
187,1.12596
188,1.12494
189,1.12507
190,1.1249
191,1.12512
192,1.12614
193,1.12548
194,1.12563
195,1.12581
196,1.1254
197,1.12528
198,1.12522
199,1.12448
200,1.12462
201,1.12423
202,1.12407
203,1.12455
204,1.12405
205,1.12417
206,1.12448
207,1.12474
208,1.12418
209,1.12454
210,1.12454
211,1.12407
212,1.12453
213,1.12425
214,1.12389
215,1.12398
216,1.12433
217,1.12416
218,1.12361
219,1.12393
220,1.12394
221,1.12339
222,1.12338
223,1.12387
224,1.1231
225,1.12374
226,1.12436
227,1.12456
228,1.12378
229,1.12396
230,1.12366
231,1.12429
232,1.12371
233,1.12439
234,1.12375
235,1.12504
236,1.1249
237,1.12495
238,1.12475
239,1.12455
240,1.12447
241,1.12439
242,1.12464
243,1.12464
244,1.12472
245,1.12442
246,1.12436
247,1.12439
248,1.12465
249,1.12467
250,1.1247
251,1.12503
252,1.12514
253,1.12527
254,1.12515
255,1.12517
256,1.14031
257,1.15666
258,1.17213
259,1.18751
260,1.20241
261,1.21917
262,1.23494
263,1.2496
264,1.2636
265,1.27875
266,1.29371
267,1.3083
268,1.32192
269,1.33578
270,1.35005
271,1.36342
272,1.37639
273,1.38923
274,1.40186
275,1.41422
276,1.42647
277,1.43869
278,1.45068
279,1.46259
280,1.47466
281,1.48648
282,1.49791
283,1.5093
284,1.52038
285,1.53145
286,1.54267
287,1.55353
288,1.56436
289,1.57472
290,1.58519
291,1.59529
292,1.605
293,1.61488
294,1.62479
295,1.6345
296,1.64399
297,1.65349
298,1.66313
299,1.67206
300,1.68088
301,1.68978
302,1.6988
303,1.70764
304,1.71747
305,1.72661
306,1.73414
307,1.74268
308,1.7504
309,1.75885
310,1.76766
311,1.77503
312,1.78319
313,1.79065
314,1.79831
315,1.80645
316,1.81392
317,1.82084
318,1.82779
319,1.83446
320,1.84165
321,1.84937
322,1.85613
323,1.86259
324,1.86941
325,1.87622
326,1.88215
327,1.88847
328,1.89479
329,1.90085
330,1.90724
331,1.91318
332,1.91882
333,1.9246
334,1.93085
335,1.93663
336,1.94188
337,1.94781
338,1.95337
339,1.95872
340,1.96639
341,1.97276
342,1.97803
343,1.98315
344,1.98922
345,1.99404
346,1.9996
347,2.00391
348,2.00872
349,2.01368
350,2.01824
351,2.02376
352,2.02823
353,2.03315
354,2.03757
355,2.0421
356,2.04698
357,2.05138
358,2.056
359,2.06049
360,2.06492
361,2.06943
362,2.0739
363,2.07809
364,2.08205
365,2.08598
366,2.09005
367,2.09435
368,2.09844
369,2.10217
370,2.10596
371,2.10995
372,2.11352
373,2.11698
374,2.12087
375,2.12473
376,2.12821
377,2.13185
378,2.13511
379,2.13852
380,2.142
381,2.14551
382,2.14905
383,2.15227
384,2.16297
385,2.17483
386,2.1856
387,2.19659
388,2.20737
389,2.21819
390,2.2288
391,2.23937
392,2.24935
393,2.25961
394,2.26978
395,2.27998
396,2.28944
397,2.2995
398,2.30933
399,2.31875
400,2.32826
401,2.33763
402,2.34648
403,2.35538
404,2.3642
405,2.37285
406,2.38126
407,2.38967
408,2.39795
409,2.40599
410,2.41424
411,2.42201
412,2.4301
413,2.43804
414,2.44551
415,2.45296
416,2.4605
417,2.46788
418,2.47523
419,2.4821
420,2.48995
421,2.49666
422,2.50331
423,2.51034
424,2.51673
425,2.52441
426,2.53069
427,2.53731
428,2.54416
429,2.55098
430,2.55792
431,2.56424
432,2.56999
433,2.57692
434,2.58319
435,2.58865
436,2.59473
437,2.60075
438,2.60596
439,2.61219
440,2.61786
441,2.62291
442,2.62859
443,2.63431
444,2.63902
445,2.64462
446,2.65052
447,2.65557
448,2.66046
449,2.66528
450,2.67031
451,2.67532
452,2.68058
453,2.68525
454,2.69037
455,2.69516
456,2.70047
457,2.70545
458,2.71031
459,2.71482
460,2.71687
461,2.72078
462,2.72501
463,2.72959
464,2.73319
465,2.73849
466,2.74252
467,2.74686
468,2.75072
469,2.75578
470,2.75993
471,2.76369
472,2.76753
473,2.77116
474,2.77506
475,2.77894
476,2.78291
477,2.78679
478,2.79011
479,2.79409
480,2.7977
481,2.80129
482,2.80464
483,2.80757
484,2.81114
485,2.81451
486,2.81772
487,2.82084
488,2.8243
489,2.82774
490,2.83082
491,2.83384
492,2.83714
493,2.84037
494,2.84339
495,2.84643
496,2.84928
497,2.85242
498,2.85561
499,2.85849
500,2.86343
501,2.86711
502,2.86967
503,2.87233
504,2.87465
505,2.87981
506,2.883
507,2.88528
508,2.888
509,2.89041
510,2.89493
511,2.89824
512,2.90828
513,2.91858
514,2.92803
515,2.93777
516,2.9474
517,2.95706
518,2.96653
519,2.97561
520,2.98443
521,2.99352
522,3.00245
523,3.01111
524,3.01954
525,3.02825
526,3.03666
527,3.04498
528,3.05277
529,3.06081
530,3.06899
531,3.0767
532,3.08415
533,3.09184
534,3.1
535,3.10674
536,3.11447
537,3.12186
538,3.13019
539,3.13779
540,3.14408
541,3.15123
542,3.15842
543,3.16497
544,3.17208
545,3.17906
546,3.1855
547,3.19218
548,3.19843
549,3.20473
550,3.21098
551,3.21674
552,3.22245
553,3.22842
554,3.23394
