SupplyPort 1	Port pressure 28
Elapsed	Pressure	Rate
0	0.123511	0.00733847
0.101	0.109247	0.00733847
0.202	1.414	0.00733847
0.304	2.35742	0.00733847
0.405	3.20301	0.00733847
0.506	3.99835	0.00733847
0.608	4.74472	0.00733847
0.709	5.47227	0.00733847
0.81	6.19745	0.00733847
0.911	6.92382	0.00733847
1.012	7.64583	0.00733847
1.113	8.36012	0.00733847
1.214	9.08594	0.00733847
1.315	9.79935	0.00733847
1.416	10.5128	0.00733847
1.518	11.2222	0.00733847
1.618	11.9224	0.00733847
1.719	12.6229	0.00733847
1.82	13.3165	0.00733847
1.921	13.9828	0.00733847
2.022	14.6466	0.00733847
2.122	15.2997	0.00733216
2.223	15.9328	0.00730945
2.324	16.5523	0.00727102
2.425	17.1517	0.00721825
2.527	17.7418	0.00715096
2.628	18.297	0.00707335
2.729	18.8389	0.00698371
2.83	19.3509	0.00688591
2.931	19.8469	0.00677849
3.033	20.3152	0.00666506
3.135	20.7684	0.00654356
3.235	21.1937	0.00641849
3.337	21.5827	0.00629415
3.437	21.97	0.00616029
3.539	22.3155	0.00603191
3.641	22.6461	0.00590057
3.742	22.9594	0.00576794
3.843	23.256	0.00563452
3.945	23.526	0.00550596
4.046	23.7695	0.00538381
4.148	24.0085	0.00525776
4.249	24.2275	0.00513651
4.35	24.4226	0.00502349
4.451	24.6128	0.00490852
4.552	24.7886	0.00479778
4.653	24.9446	0.00469556
4.754	25.0882	0.00459801
4.855	25.2292	0.00449881
4.957	25.3523	0.00440921
5.058	25.4782	0.00431453
5.159	25.5914	0.0042266
5.26	25.6825	0.00415376
5.361	25.7669	0.00408462
5.462	25.8672	0.00400015
5.563	25.9459	0.00393203
5.665	26.0198	0.00386655
5.766	26.0728	0.00381863
5.867	26.1455	0.00375146
5.969	26.2046	0.00369563
6.07	26.2459	0.00365595
6.172	26.2944	0.00360861
6.274	26.3391	0.00356425
6.375	26.3684	0.00353482
6.476	26.3973	0.00350535
6.578	26.4349	0.00346669
6.679	26.4627	0.00343762
6.78	26.4821	0.00341727
6.882	26.5082	0.00338947
6.983	26.5274	0.00336891
7.085	26.5452	0.00334968
7.186	26.5567	0.00333719
7.288	26.5735	0.00331889
7.389	26.5847	0.00330658
7.49	26.6042	0.003285
7.592	26.6147	0.00327329
7.693	26.6242	0.00326262
7.795	26.6379	0.00324727
7.896	26.6475	0.00323638
7.998	26.6527	0.00323053
8.1	26.6618	0.00322015
8.201	26.6721	0.00320849
8.302	26.6837	0.0031951
8.403	26.6903	0.00318757
8.505	26.6972	0.00317954
8.606	26.707	0.00316817
8.708	26.7159	0.0031579
8.809	26.7159	0.00315782
8.911	26.7195	0.00315363
9.013	26.727	0.00314491
9.115	26.7287	0.00314288
9.216	26.741	0.00312834
9.317	26.748	0.00312018
9.419	26.7546	0.00311232
9.52	26.7581	0.0031082
9.622	26.764	0.00310106
9.723	26.7675	0.00309697
9.825	26.7746	0.00308845
9.926	26.7848	0.00307624
