LeakagePort 0	Current turn 0.5	Pressure storage 41.4424	Pressure reaction 1.4764
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
1.22	32.29	20.9697	0.0219656	0.0217928
1.23	32.2408	21.0746	0.0218556	0.0219017
1.24	32.1918	21.1789	0.0217442	0.0220101
1.25	32.1431	21.2827	0.0216315	0.022118
1.26	32.0946	21.3859	0.0215176	0.0222253
1.27	32.0464	21.4886	0.0214024	0.022332
1.28	31.9984	21.5908	0.021286	0.0224382
1.29	31.9507	21.6924	0.0211683	0.0225438
1.3	31.9033	21.7934	0.0210495	0.0226488
1.31	31.8561	21.8939	0.0209294	0.0227532
1.32	31.8092	21.9938	0.0208081	0.022857
1.33	31.7626	22.0931	0.0206857	0.0229602
1.34	31.7162	22.1918	0.0205621	0.0230628
1.35	31.6701	22.29	0.0204374	0.0231648
1.36	31.6243	22.3875	0.0203116	0.0232662
1.37	31.5788	22.4845	0.0201846	0.0233669
1.38	31.5336	22.5808	0.0200566	0.0234671
1.39	31.4886	22.6766	0.0199274	0.0235666
1.4	31.444	22.7717	0.0197972	0.0236654
1.41	31.3996	22.8662	0.0196659	0.0237636
1.42	31.3555	22.96	0.0195336	0.0238611
1.43	31.3118	23.0533	0.0194003	0.023958
1.44	31.2683	23.1459	0.0192659	0.0240543
1.45	31.2251	23.2378	0.0191305	0.0241498
1.46	31.1822	23.3291	0.0189941	0.0242447
1.47	31.1397	23.4198	0.0188568	0.0243389
1.48	31.0974	23.5098	0.0187185	0.0244325
1.49	31.0555	23.5991	0.0185792	0.0245253
1.5	31.0138	23.6878	0.018439	0.0246175
1.51	30.9725	23.7758	0.0182979	0.024709
1.52	30.9315	23.8631	0.0181559	0.0247997
1.53	30.8908	23.9498	0.018013	0.0248898
1.54	30.8504	24.0358	0.0178691	0.0249791
1.55	30.8104	24.1211	0.0177244	0.0250678
1.56	30.7707	24.2057	0.0175789	0.0251557
1.57	30.7313	24.2896	0.0174325	0.0252429
1.58	30.6922	24.3728	0.0172852	0.0253294
1.59	30.6535	24.4553	0.0171371	0.0254151
1.6	30.6151	24.5371	0.0169882	0.0255001
1.61	30.577	24.6182	0.0168386	0.0255844
1.62	30.5393	24.6985	0.0166881	0.0256679
1.63	30.5019	24.7782	0.0165368	0.0257507
1.64	30.4648	24.8571	0.0163848	0.0258327
1.65	30.4281	24.9353	0.016232	0.025914
1.66	30.3917	25.0128	0.0160785	0.0259945
1.67	30.3557	25.0895	0.0159242	0.0260742
1.68	30.32	25.1655	0.0157692	0.0261532
1.69	30.2847	25.2408	0.0156135	0.0262314
1.7	30.2497	25.3153	0.0154571	0.0263089
1.71	30.215	25.3891	0.0153	0.0263856
1.72	30.1808	25.4621	0.0151422	0.0264615
1.73	30.1468	25.5344	0.0149838	0.0265366
1.74	30.1132	25.6059	0.0148247	0.0266109
1.75	30.08	25.6767	0.014665	0.0266844
1.76	30.0472	25.7467	0.0145046	0.0267572
1.77	30.0147	25.8159	0.0143436	0.0268291
1.78	29.9825	25.8844	0.014182	0.0269003
1.79	29.9507	25.9521	0.0140197	0.0269706
