LeakagePort 1	Current turn 0.5	Pressure storage 18.9856	Pressure reaction 0.62439	Used volumes E, B
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
14.87	10.0403	9.9607	0.000310477	0.0205108
14.88	10.0396	9.96145	0.000307664	0.0205124
14.89	10.0389	9.96219	0.000304851	0.0205139
14.9	10.0382	9.96292	0.000302038	0.0205154
14.91	10.0375	9.96365	0.000299223	0.0205169
14.92	10.0369	9.96437	0.000296408	0.0205184
14.93	10.0362	9.96508	0.000293593	0.0205199
14.94	10.0355	9.96579	0.000290777	0.0205213
14.95	10.0349	9.96649	0.00028796	0.0205228
14.96	10.0342	9.96718	0.000285143	0.0205242
14.97	10.0336	9.96787	0.000282325	0.0205256
14.98	10.033	9.96855	0.000279507	0.020527
14.99	10.0323	9.96922	0.000276688	0.0205284
15	10.0317	9.96989	0.000273869	0.0205298
15.01	10.0311	9.97055	0.000271048	0.0205311
15.02	10.0305	9.9712	0.000268228	0.0205325
15.03	10.0299	9.97185	0.000265407	0.0205338
15.04	10.0293	9.97249	0.000262585	0.0205351
15.05	10.0287	9.97312	0.000259762	0.0205364
15.06	10.0282	9.97375	0.000256939	0.0205377
15.07	10.0276	9.97437	0.000254116	0.020539
15.08	10.027	9.97498	0.000251292	0.0205402
15.09	10.0265	9.97558	0.000248467	0.0205415
15.1	10.0259	9.97618	0.000245642	0.0205427
15.11	10.0253	9.97677	0.000242816	0.0205439
15.12	10.0248	9.97736	0.00023999	0.0205452
15.13	10.0243	9.97794	0.000237163	0.0205463
15.14	10.0237	9.97851	0.000234335	0.0205475
15.15	10.0232	9.97907	0.000231507	0.0205487
15.16	10.0227	9.97963	0.000228679	0.0205498
15.17	10.0222	9.98018	0.000225849	0.020551
15.18	10.0217	9.98073	0.00022302	0.0205521
15.19	10.0212	9.98126	0.000220189	0.0205532
15.2	10.0207	9.98179	0.000217358	0.0205543
15.21	10.0202	9.98232	0.000214527	0.0205554
15.22	10.0197	9.98283	0.000211695	0.0205564
15.23	10.0193	9.98334	0.000208862	0.0205575
15.24	10.0188	9.98385	0.000206029	0.0205585
15.25	10.0183	9.98434	0.000203195	0.0205595
15.26	10.0179	9.98483	0.00020036	0.0205605
15.27	10.0174	9.98532	0.000197525	0.0205615
15.28	10.017	9.98579	0.00019469	0.0205625
15.29	10.0166	9.98626	0.000191853	0.0205635
15.3	10.0161	9.98672	0.000189017	0.0205644
15.31	10.0157	9.98718	0.000186179	0.0205654
15.32	10.0153	9.98763	0.000183341	0.0205663
15.33	10.0149	9.98807	0.000180502	0.0205672
15.34	10.0145	9.9885	0.000177663	0.0205681
15.35	10.0141	9.98893	0.000174823	0.020569
15.36	10.0137	9.98935	0.000171982	0.0205698
15.37	10.0133	9.98977	0.000169141	0.0205707
15.38	10.0129	9.99017	0.000166299	0.0205715
15.39	10.0126	9.99057	0.000163456	0.0205724
15.4	10.0122	9.99097	0.000160613	0.0205732
15.41	10.0118	9.99135	0.000157769	0.020574
15.42	10.0115	9.99173	0.000154924	0.0205748
15.43	10.0111	9.99211	0.000152079	0.0205755
15.44	10.0108	9.99247	0.000149232	0.0205763
15.45	10.0105	9.99283	0.000146386	0.020577
15.46	10.0101	9.99319	0.000143538	0.0205777
15.47	10.0098	9.99353	0.000140689	0.0205785
15.48	10.0095	9.99387	0.00013784	0.0205792
15.49	10.0092	9.9942	0.00013499	0.0205798
15.5	10.0089	9.99453	0.000132139	0.0205805
15.51	10.0086	9.99485	0.000129287	0.0205812
15.52	10.0083	9.99516	0.000126434	0.0205818
15.53	10.008	9.99546	0.00012358	0.0205824
15.54	10.0077	9.99576	0.000120726	0.020583
15.55	10.0075	9.99605	0.00011787	0.0205836
15.56	10.0072	9.99633	0.000115013	0.0205842
15.57	10.007	9.99661	0.000112156	0.0205848
15.58	10.0067	9.99688	0.000109297	0.0205854
