SupplyPort 1	Port pressure 31
Elapsed	Pressure	Rate
1.58	11.7874	0.0163542	55.5544
1.59	11.8603	0.0163542	55.5544
1.6	11.9331	0.0163542	55.5544
1.61	12.006	0.0163542	55.5544
1.62	12.0789	0.0163542	55.5544
1.63	12.1518	0.0163542	55.5544
1.64	12.2246	0.0163542	55.5544
1.65	12.2975	0.0163542	55.5544
1.66	12.3704	0.0163542	55.5544
1.67	12.4433	0.0163542	55.5544
1.68	12.5162	0.0163542	55.5544
1.69	12.589	0.0163542	55.5544
1.7	12.6619	0.0163542	55.5544
1.71	12.7348	0.0163542	55.5544
1.72	12.8077	0.0163542	55.5544
1.73	12.8806	0.0163542	55.5544
1.74	12.9534	0.0163542	55.5544
1.75	13.0263	0.0163542	55.5544
1.76	13.0992	0.0163542	55.5544
1.77	13.1721	0.0163542	55.5544
1.78	13.2449	0.0163542	55.5544
1.79	13.3178	0.0163542	55.5544
1.8	13.3907	0.0163542	55.5544
1.81	13.4636	0.0163542	55.5544
1.82	13.5365	0.0163542	55.5544
1.83	13.6093	0.0163542	55.5544
1.84	13.6822	0.0163542	55.5544
1.85	13.7551	0.0163542	55.5544
1.86	13.828	0.0163542	55.5544
1.87	13.9009	0.0163542	55.5544
1.88	13.9737	0.0163542	55.5544
1.89	14.0466	0.0163542	55.5544
1.9	14.1195	0.0163542	55.5544
1.91	14.1924	0.0163542	55.5544
1.92	14.2652	0.0163542	55.5544
1.93	14.3381	0.0163542	55.5544
1.94	14.411	0.0163542	55.5544
1.95	14.4839	0.0163542	55.5544
1.96	14.5568	0.0163542	55.5544
1.97	14.6296	0.0163542	55.5544
1.98	14.7025	0.0163542	55.5544
1.99	14.7754	0.0163542	55.5544
2	14.8483	0.0163542	55.5544
2.01	14.9212	0.0163542	55.5544
2.02	14.994	0.0163542	55.5544
2.03	15.0669	0.0163542	55.5544
2.04	15.1398	0.0163542	55.5544
2.05	15.2127	0.0163542	55.5544
2.06	15.2855	0.0163542	55.5544
2.07	15.3584	0.0163542	55.5544
2.08	15.4313	0.0163542	55.5544
2.09	15.5042	0.0163542	55.5544
2.1	15.5771	0.0163542	55.5544
2.11	15.6499	0.0163542	55.5544
2.12	15.7228	0.0163542	55.5544
2.13	15.7957	0.0163542	55.5544
2.14	15.8686	0.0163542	55.5544
2.15	15.9415	0.0163542	55.5544
2.16	16.0143	0.0163542	55.5544
2.17	16.0872	0.0163542	55.5544
2.18	16.1601	0.0163542	55.5544
2.19	16.233	0.0163542	55.5544
2.2	16.3058	0.0163542	55.5544
2.21	16.3787	0.0163542	55.5544
2.22	16.4623	0.0187603	55.5544
2.23	16.5457	0.0187059	55.5544
2.24	16.6288	0.0186509	55.5544
2.25	16.7117	0.0185954	55.5544
2.26	16.7943	0.0185393	55.5544
2.27	16.8766	0.0184826	55.5544
2.28	16.9588	0.0184254	55.5544
2.29	17.0406	0.0183677	55.5544
2.3	17.1222	0.0183094	55.5544
2.31	17.2035	0.0182507	55.5544
2.32	17.2846	0.0181915	55.5544
2.33	17.3654	0.0181318	55.5544
2.34	17.4459	0.0180716	55.5544
2.35	17.5262	0.0180109	55.5544
2.36	17.6062	0.0179498	55.5544
2.37	17.6859	0.0178883	55.5544
2.38	17.7653	0.0178263	55.5544
2.39	17.8445	0.0177639	55.5544
2.4	17.9234	0.0177011	55.5544
2.41	18.002	0.017638	55.5544
2.42	18.0803	0.0175744	55.5544
2.43	18.1583	0.0175104	55.5544
2.44	18.2361	0.0174461	55.5544
2.45	18.3135	0.0173815	55.5544
2.46	18.3907	0.0173165	55.5544
2.47	18.4676	0.0172511	55.5544
2.48	18.5441	0.0171854	55.5544
2.49	18.6204	0.0171194	55.5544
2.5	18.6964	0.0170531	55.5544
2.51	18.7721	0.0169866	55.5544
2.52	18.8475	0.0169197	55.5544
2.53	18.9226	0.0168525	55.5544
2.54	18.9974	0.0167851	55.5544
2.55	19.0719	0.0167174	55.5544
2.56	19.1461	0.0166495	55.5544
2.57	19.22	0.0165813	55.5544
2.58	19.2936	0.0165129	55.5544
2.59	19.3669	0.0164443	55.5544
