SupplyPort 1	Current turn 0.5	Port pressure 50
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
0	1.54605	815.523	148.494
1.5e-06	1.54591	815.523	148.495
0.51525	1.54596	815.523	568.692
1.01147	1.54572	815.523	973.373
1.51585	1.5458	815.523	1384.71
2.00112	1.5461	815.523	1780.45
2.52635	1.54578	815.523	2208.79
3.01197	1.54621	815.523	2604.83
3.50005	1.5461	815.523	3002.87
4.00069	1.54631	815.523	3411.15
4.50869	1.54621	815.523	3825.44
5.00897	1.54596	815.523	4233.42
5.51799	1.54621	815.523	4648.54
6.00784	1.54623	815.523	5048.03
6.51585	1.54612	815.523	5462.32
7.05444	1.54599	815.523	5901.55
7.50299	1.54605	815.523	6267.36
8.03789	1.54639	815.523	6703.58
8.54236	1.54638	815.523	7114.99
9.0381	1.5462	815.523	7519.27
9.54886	1.54611	815.523	7935.81
10.0545	1.54623	815.523	8348.15
10.5456	1.54627	815.523	8748.66
11.0554	1.54641	815.523	9164.46
11.5438	1.54642	815.523	9562.69
12.057	1.54658	815.523	9981.23
12.5525	1.54616	815.523	10385.3
13.0434	1.54638	815.523	10785.7
13.5553	1.54604	815.523	11203.2
