SupplyPort 2	Current turn 0.5	Port pressure 8.5
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
1.83	5.31603	305.845	573.168
1.84	5.34455	305.38	576.222
1.85	5.37303	304.901	579.271
1.86	5.40146	304.409	582.315
1.87	5.42984	303.903	585.354
1.88	5.45818	303.382	588.388
1.89	5.48647	302.848	591.416
1.9	5.51471	302.3	594.439
1.91	5.5429	301.738	597.456
1.92	5.57103	301.162	600.468
1.93	5.59911	300.572	603.474
1.94	5.62714	299.967	606.473
1.95	5.65511	299.349	609.467
1.96	5.68302	298.716	612.454
1.97	5.71088	298.069	615.435
1.98	5.73867	297.408	618.409
1.99	5.7664	296.732	621.376
2	5.79407	296.042	624.337
2.01	5.82168	295.338	627.29
2.02	5.84922	294.619	630.236
2.03	5.87669	293.885	633.175
2.04	5.90409	293.138	636.106
2.05	5.93143	292.375	639.03
2.06	5.95869	291.598	641.946
2.07	5.98588	290.806	644.854
2.08	6.013	290	647.754
2.09	6.04004	289.179	650.646
2.1	6.067	288.343	653.529
2.11	6.09389	287.493	656.404
2.12	6.1207	286.628	659.271
2.13	6.14742	285.748	662.128
2.14	6.17407	284.853	664.977
2.15	6.20063	283.944	667.816
2.16	6.22711	283.02	670.646
2.17	6.2535	282.081	673.467
2.18	6.2798	281.127	676.278
2.19	6.30601	280.158	679.08
2.2	6.33214	279.174	681.872
2.21	6.35817	278.175	684.653
2.22	6.38411	277.162	687.425
2.23	6.40995	276.134	690.186
2.24	6.4357	275.09	692.937
2.25	6.46135	274.032	695.678
2.26	6.4869	272.959	698.407
2.27	6.51236	271.871	701.126
2.28	6.53771	270.768	703.834
2.29	6.56295	269.65	706.53
2.3	6.5881	268.517	709.215
2.31	6.61314	267.369	711.889
2.32	6.63807	266.206	714.551
2.33	6.66289	265.029	717.201
2.34	6.6876	263.836	719.84
2.35	6.7122	262.629	722.466
2.36	6.73669	261.407	725.08
2.37	6.76107	260.17	727.682
2.38	6.78533	258.918	730.271
2.39	6.80947	257.651	732.847
2.4	6.8335	256.369	735.411
2.41	6.8574	255.073	737.962
2.42	6.88119	253.761	740.499
2.43	6.90485	252.435	743.024
2.44	6.92839	251.095	745.535
2.45	6.9518	249.739	748.032
2.46	6.97509	248.369	750.516
2.47	6.99825	246.985	752.986
2.48	7.02128	245.585	755.441
2.49	7.04418	244.171	757.883
2.5	7.06694	242.743	760.311
2.51	7.08958	241.3	762.724
2.52	7.11208	239.842	765.122
2.53	7.13444	238.37	767.506
2.54	7.15667	236.884	769.875
2.55	7.17876	235.383	772.228
2.56	7.20071	233.868	774.567
2.57	7.22252	232.339	776.89
2.58	7.24418	230.796	779.198
2.59	7.2657	229.238	781.491
2.6	7.28708	227.666	783.767
2.61	7.30831	226.08	786.028
2.62	7.32939	224.48	788.273
2.63	7.35032	222.866	790.502
2.64	7.3711	221.239	792.714
2.65	7.39173	219.597	794.91
2.66	7.41221	217.941	797.09
2.67	7.43253	216.272	799.252
2.68	7.45269	214.589	801.398
2.69	7.4727	212.893	803.527
2.7	7.49256	211.183	805.639
2.71	7.51225	209.46	807.733
2.72	7.53178	207.723	809.811
2.73	7.55115	205.973	811.87
2.74	7.57035	204.209	813.913
2.75	7.5894	202.432	815.937
2.76	7.60827	200.643	817.943
2.77	7.62698	198.84	819.932
2.78	7.64552	197.024	821.902
2.79	7.66389	195.196	823.854
2.8	7.68209	193.354	825.787
2.81	7.70012	191.5	827.702
2.82	7.71798	189.634	829.599
2.83	7.73566	187.754	831.476
2.84	7.75317	185.863	833.335
2.85	7.7705	183.959	835.175
2.86	7.78765	182.043	836.995
2.87	7.80463	180.114	838.796
2.88	7.82142	178.174	840.578
2.89	7.83804	176.221	842.34
2.9	7.85447	174.257	844.083
2.91	7.87072	172.281	845.805
2.92	7.88678	170.293	847.508
2.93	7.90266	168.293	849.191
2.94	7.91835	166.283	850.854
2.95	7.93386	164.26	852.497
2.96	7.94918	162.227	854.119
2.97	7.9643	160.182	855.721
2.98	7.97924	158.126	857.302
2.99	7.99398	156.06	858.863
3	8.00854	153.982	860.402
3.01	8.02289	151.894	861.921
3.02	8.03706	149.795	863.419
3.03	8.05103	147.685	864.896
3.04	8.0648	145.566	866.352
3.05	8.07837	143.436	867.786
3.06	8.09175	141.295	869.199
3.07	8.10492	139.145	870.591
3.08	8.11789	136.985	871.96
3.09	8.13067	134.815	873.309
3.1	8.14324	132.635	874.635
3.11	8.15561	130.446	875.939
3.12	8.16777	128.247	877.222
3.13	8.17973	0	877.222
