SupplyPort 1	Port pressure 30
Elapsed	Pressure	Rate	Volume
0	0.301242	0	107.243
0.101	0.307831	0.000282167	107.243
0.202	1.03659	0.0312092	107.243
0.303	1.55705	0.0222888	107.243
0.405	2.0329	0.0201789	107.243
0.506	2.47905	0.0191064	107.243
0.608	2.91834	0.0186284	107.243
0.708	3.35531	0.0189007	107.243
0.81	3.78795	0.0183462	107.243
0.91	4.22092	0.0187273	107.243
1.012	4.66835	0.0189736	107.243
1.113	5.10437	0.0186728	107.243
1.214	5.54609	0.0189168	107.243
1.315	5.9831	0.0187148	107.243
1.416	6.42465	0.0189095	107.243
1.517	6.85565	0.018458	107.243
1.618	7.29516	0.0188219	107.243
1.719	7.73413	0.018799	107.243
1.82	8.17151	0.018731	107.243
1.922	8.61163	0.0186634	107.243
2.023	9.05486	0.0189817	107.243
2.124	9.49279	0.0187545	107.243
2.225	9.92474	0.0184985	107.243
2.326	10.3683	0.018995	107.243
2.427	10.805	0.0187014	107.243
2.528	11.2446	0.0188268	107.243
2.629	11.6855	0.0188801	107.243
2.731	12.12	0.0184279	107.243
2.832	12.5468	0.0182788	107.243
2.933	12.9871	0.018852	107.243
3.035	13.4147	0.0181352	107.243
3.136	13.8432	0.01835	107.243
3.237	14.2623	0.017947	107.243
3.338	14.6926	0.0184282	107.243
3.439	15.1129	0.0179984	107.243
3.539	15.5235	0.0177622	107.243
3.64	15.9383	0.0177645	107.243
3.741	16.3508	0.0176648	107.243
3.843	16.7524	0.0170287	107.243
3.944	17.1501	0.0170308	107.243
4.045	17.5478	0.0170346	107.243
4.147	17.9377	0.0165341	107.243
4.248	18.3249	0.0165823	107.243
4.349	18.7033	0.0162053	107.243
4.451	19.0701	0.0155529	107.243
4.552	19.4349	0.0156206	107.243
4.653	19.7952	0.0154311	107.243
4.755	20.1463	0.0148913	107.243
4.856	20.5024	0.0152465	107.243
4.958	20.8456	0.0145541	107.243
5.059	21.1785	0.0142558	107.243
5.16	21.5038	0.013933	107.243
5.261	21.8318	0.0140458	107.243
5.363	22.1405	0.0130906	107.243
5.464	22.4511	0.0133011	107.243
5.566	22.748	0.0125919	107.243
5.667	23.0346	0.012272	107.243
5.769	23.3225	0.0122095	107.243
5.87	23.5967	0.0117423	107.243
5.971	23.8609	0.0113143	107.243
6.073	24.1177	0.0108918	107.243
6.175	24.3719	0.0107778	107.243
6.277	24.6182	0.0104432	107.243
6.378	24.8528	0.0100485	107.243
6.479	25.077	0.00960181	107.243
6.579	25.2926	0.00932681	107.243
6.681	25.5028	0.00891024	107.243
6.783	25.7059	0.00861367	107.243
6.884	25.8989	0.00826442	107.243
6.985	26.0809	0.00779632	107.243
7.086	26.2642	0.00784912	107.243
7.187	26.4337	0.007261	107.243
7.289	26.5915	0.00668835	107.243
7.39	26.7484	0.00671933	107.243
7.492	26.8952	0.0062247	107.243
7.593	27.039	0.0061591	107.243
7.694	27.1727	0.00572829	107.243
7.795	27.3001	0.00545596	107.243
7.897	27.4199	0.00507664	107.243
7.999	27.5396	0.00507809	107.243
8.1	27.6471	0.00460428	107.243
8.201	27.7466	0.00426149	107.243
8.303	27.8466	0.00423924	107.243
8.404	27.9377	0.0039017	107.243
8.506	28.0229	0.00361067	107.243
8.607	28.1087	0.0036748	107.243
8.708	28.1807	0.00308595	107.243
8.809	28.2512	0.00301674	107.243
8.911	28.3197	0.00290604	107.243
9.012	28.3806	0.00260823	107.243
9.113	28.4404	0.00256306	107.243
9.215	28.5007	0.00255555	107.243
9.317	28.5462	0.00192757	107.243
9.419	28.5935	0.002009	107.243
9.521	28.6449	0.0021776	107.243
9.622	28.6812	0.00155361	107.243
9.723	28.7226	0.00177225	107.243
9.824	28.7583	0.00153238	107.243
9.926	28.7958	0.0015897	107.243
10.027	28.8284	0.00139603	107.243
10.128	28.8551	0.00114169	107.243
10.23	28.8874	0.00136874	107.243
10.332	28.9156	0.00119889	107.243
10.433	28.9339	0.000781735	107.243
10.534	28.9595	0.00109679	107.243
10.635	28.98	0.000876362	107.243
10.736	29.0005	0.00088151	107.243
10.838	29.021	0.000867411	107.243
10.939	29.0406	0.000841135	107.243
11.04	29.0645	0.0010216	107.243
11.141	29.0813	0.00072167	107.243
11.243	29.1008	0.000824333	107.243
11.345	29.1128	0.000511331	107.243
11.447	29.1253	0.00052676	107.243
11.548	29.1427	0.000748691	107.243
11.65	29.1482	0.000231517	107.243
11.752	29.164	0.000670865	107.243
11.853	29.1793	0.000655907	107.243
11.954	29.1953	0.000683825	107.243
12.055	29.1995	0.000179371	107.243
12.156	29.2174	0.000768288	107.243
12.257	29.2243	0.000293223	107.243
12.358	29.2389	0.000624451	107.243
12.459	29.2463	0.000320346	107.243
12.56	29.2516	0.000223308	107.243
12.662	29.2647	0.000556387	107.243
12.763	29.2699	0.000221727	107.243
12.865	29.288	0.000769312	107.243
12.967	29.2935	0.000234095	107.243
13.068	29.3026	0.000386892	107.243
13.169	29.3121	0.000407175	107.243
13.271	29.3251	0.000552808	107.243
13.372	29.3315	0.000272576	107.243
13.473	29.3281	-0.000142295	107.243
13.574	29.3406	0.000532378	107.243
13.675	29.3492	0.000368327	107.243
13.776	29.3634	0.000608465	107.243
13.877	29.369	0.000241715	107.243
13.979	29.3787	0.000411944	107.243
14.08	29.3799	5.05544e-05	107.243
14.181	29.3876	0.000327492	107.243
14.282	29.3917	0.000177461	107.243
14.384	29.4026	0.000462143	107.243
14.486	29.4071	0.000192139	107.243
14.588	29.415	0.000333134	107.243
14.689	29.4158	3.55604e-05	107.243
14.791	29.4288	0.000552074	107.243
14.893	29.4386	0.000415409	107.243
14.994	29.4415	0.000120337	107.243
15.096	29.4502	0.000368877	107.243
15.197	29.4536	0.000146946	107.243
15.299	29.4635	0.000420642	107.243
15.401	29.4673	0.000162546	107.243
