SupplyPort 2	Current turn 0.5	Port pressure 8.5
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
6e-07	1.32661	313.709	129.595
0.462667	1.32099	313.709	274.738
0.993297	3.24034	313.709	441.201
1.49013	4.65889	312.851	596.635
1.98979	6.42388	275.571	734.329
2.48274	7.47002	213.122	839.387
3.00935	7.97333	158.945	923.088
3.50732	8.14478	132.365	989.002
4.00074	8.18428	125.186	1050.77
4.51484	8.19	124.105	1114.57
5.01635	8.19681	122.802	1176.16
5.51833	8.19578	122.998	1237.9
6.01546	8.20026	122.134	1298.62
6.52631	8.20168	121.858	1360.87
7.03122	8.19992	122.199	1422.57
7.53552	8.21302	119.629	1482.9
8.0384	8.20987	120.253	1543.37
8.52205	8.21433	119.367	1601.1
