SupplyPort 1	Port pressure 30
Elapsed	Pressure	Rate
0	0.338752	0.0158146	107.243
0.01	0.375315	0.0158146	107.243
0.02	0.411877	0.0158146	107.243
0.03	0.44844	0.0158146	107.243
0.04	0.485002	0.0158146	107.243
0.05	0.521565	0.0158146	107.243
0.06	0.558128	0.0158146	107.243
0.07	0.59469	0.0158146	107.243
0.08	0.631253	0.0158146	107.243
0.09	0.667815	0.0158146	107.243
0.1	0.704378	0.0158146	107.243
0.11	0.74094	0.0158146	107.243
0.12	0.777503	0.0158146	107.243
0.13	0.814066	0.0158146	107.243
0.14	0.850628	0.0158146	107.243
0.15	0.887191	0.0158146	107.243
0.16	0.923753	0.0158146	107.243
0.17	0.960316	0.0158146	107.243
0.18	0.996878	0.0158146	107.243
0.19	1.03344	0.0158146	107.243
0.2	1.07	0.0158146	107.243
0.21	1.10657	0.0158146	107.243
0.22	1.14313	0.0158146	107.243
0.23	1.17969	0.0158146	107.243
0.24	1.21625	0.0158146	107.243
0.25	1.25282	0.0158146	107.243
0.26	1.28938	0.0158146	107.243
0.27	1.32594	0.0158146	107.243
0.28	1.3625	0.0158146	107.243
0.29	1.39907	0.0158146	107.243
0.3	1.43563	0.0158146	107.243
0.31	1.47219	0.0158146	107.243
0.32	1.50875	0.0158146	107.243
0.33	1.54532	0.0158146	107.243
0.34	1.58188	0.0158146	107.243
0.35	1.61844	0.0158146	107.243
0.36	1.655	0.0158146	107.243
0.37	1.69157	0.0158146	107.243
0.38	1.72813	0.0158146	107.243
0.39	1.76469	0.0158146	107.243
0.4	1.80125	0.0158146	107.243
0.41	1.83782	0.0158146	107.243
0.42	1.87438	0.0158146	107.243
0.43	1.91094	0.0158146	107.243
0.44	1.94751	0.0158146	107.243
0.45	1.98407	0.0158146	107.243
0.46	2.02063	0.0158146	107.243
0.47	2.05719	0.0158146	107.243
0.48	2.09376	0.0158146	107.243
0.49	2.13032	0.0158146	107.243
0.5	2.16688	0.0158146	107.243
0.51	2.20344	0.0158146	107.243
0.52	2.24001	0.0158146	107.243
0.53	2.27657	0.0158146	107.243
0.54	2.31313	0.0158146	107.243
0.55	2.34969	0.0158146	107.243
0.56	2.38626	0.0158146	107.243
0.57	2.42282	0.0158146	107.243
0.58	2.45938	0.0158146	107.243
0.59	2.49594	0.0158146	107.243
0.6	2.53251	0.0158146	107.243
0.61	2.56907	0.0158146	107.243
0.62	2.60563	0.0158146	107.243
0.63	2.64219	0.0158146	107.243
0.64	2.67876	0.0158146	107.243
0.65	2.71532	0.0158146	107.243
0.66	2.75188	0.0158146	107.243
0.67	2.78844	0.0158146	107.243
0.68	2.82501	0.0158146	107.243
0.69	2.86157	0.0158146	107.243
0.7	2.89813	0.0158146	107.243
0.71	2.93469	0.0158146	107.243
0.72	2.97126	0.0158146	107.243
0.73	3.00782	0.0158146	107.243
0.74	3.04438	0.0158146	107.243
0.75	3.08094	0.0158146	107.243
0.76	3.11751	0.0158146	107.243
0.77	3.15407	0.0158146	107.243
0.78	3.19063	0.0158146	107.243
0.79	3.22719	0.0158146	107.243
0.8	3.26376	0.0158146	107.243
0.81	3.30032	0.0158146	107.243
0.82	3.33688	0.0158146	107.243
0.83	3.37345	0.0158146	107.243
0.84	3.41001	0.0158146	107.243
0.85	3.44657	0.0158146	107.243
0.86	3.48313	0.0158146	107.243
0.87	3.5197	0.0158146	107.243
0.88	3.55626	0.0158146	107.243
0.89	3.59282	0.0158146	107.243
0.9	3.62938	0.0158146	107.243
0.91	3.66595	0.0158146	107.243
0.92	3.70251	0.0158146	107.243
0.93	3.73907	0.0158146	107.243
0.94	3.77563	0.0158146	107.243
0.95	3.8122	0.0158146	107.243
0.96	3.84876	0.0158146	107.243
0.97	3.88532	0.0158146	107.243
0.98	3.92188	0.0158146	107.243
0.99	3.95845	0.0158146	107.243
1	3.99501	0.0158146	107.243
1.01	4.03157	0.0158146	107.243
1.02	4.06813	0.0158146	107.243
1.03	4.1047	0.0158146	107.243
1.04	4.14126	0.0158146	107.243
1.05	4.17782	0.0158146	107.243
1.06	4.21438	0.0158146	107.243
1.07	4.25095	0.0158146	107.243
1.08	4.28751	0.0158146	107.243
1.09	4.32407	0.0158146	107.243
1.1	4.36063	0.0158146	107.243
1.11	4.3972	0.0158146	107.243
1.12	4.43376	0.0158146	107.243
1.13	4.47032	0.0158146	107.243
1.14	4.50688	0.0158146	107.243
1.15	4.54345	0.0158146	107.243
1.16	4.58001	0.0158146	107.243
1.17	4.61657	0.0158146	107.243
1.18	4.65314	0.0158146	107.243
1.19	4.6897	0.0158146	107.243
1.2	4.72626	0.0158146	107.243
1.21	4.76282	0.0158146	107.243
1.22	4.79939	0.0158146	107.243
1.23	4.83595	0.0158146	107.243
1.24	4.87251	0.0158146	107.243
1.25	4.90907	0.0158146	107.243
1.26	4.94564	0.0158146	107.243
1.27	4.9822	0.0158146	107.243
1.28	5.01876	0.0158146	107.243
